home_team,away_team,home_score,away_score
Kansas,North Dakota State,65,61
Houston,South Carolina,77,67
Saint Louis,Arkansas-Pine Bluff,107,54
Liberty,Bluefield College (VA),86,64
Utah State,BYU,64,67
Northwestern,Chicago State,111,66
Mercer,Columbia International,88,62
George Washington,Coppin State,85,69
Green Bay,Eastern Illinois,91,93
Arizona,Eastern Washington,70,67
Providence,Fairleigh Dickinson,79,67
Florida Gulf Coast,Florida National University,91,74
College of Charleston,Furman,57,81
USC Upstate,Georgia Southern,69,72
Sacramento State,Idaho,73,57
Ball State,UIC,68,66
Murray State,Illinois State,76,65
Texas State,Incarnate Word,72,64
Hofstra,Iona,74,82
Air Force,Lamar,59,44
Loyola (IL),Lewis,76,48
Arkansas,Lipscomb,86,50
Louisiana,Louisiana State-Shreveport,84,73
Binghamton,Marist,65,68
Wright State,Miami (OH),71,47
Southern Utah,Montana,75,74
VCU,Mount St. Mary's,60,42
SIU-Edwardsville,Omaha,63,65
Kansas State,UNLV,58,68
High Point,North Florida,85,74
Pitt,Northern Illinois,89,59
Chattanooga,Northern Kentucky,79,72
Oklahoma State,Oakland,84,71
Robert Morris,Point Park,75,57
Portland,Portland State,86,73
East Carolina,Radford,63,50
Bryant,Rhode Island College,138,83
Houston Baptist,Rice,64,86
Syracuse,Rider,87,52
Delaware,Salem International,79,76
Belmont,Samford,83,96
UNC Asheville,South Carolina State,77,56
Dayton,SMU,64,66
Dixie State,St. Katherine,86,48
UTEP,Sul Ross State,84,65
Abilene Christian,Tarleton State,69,48
Citadel,Toccoa Falls,100,58
