home_team,away_team,home_score,away_score
Villanova,Butler,85,66
Texas,Sam Houston State,79,63
Purdue,Ohio State,67,60
Notre Dame,Duke,65,75
Elon,Campbell,66,56
Liberty,Carver College,91,38
Mississippi State,Central Arkansas,81,65
Pepperdine,Concordia (CA),91,68
SMU,East Carolina,70,55
South Alabama,Flagler,103,81
Florida Gulf Coast,Florida International,69,85
Louisiana-Monroe,Grambling,61,78
Abilene Christian,Hardin-Simmons,95,73
Belmont,Kennesaw State,64,53
Sacred Heart,LIU,55,75
La Salle,UMass,66,85
Tulane,Memphis,74,80
Georgia State,Mercer,88,81
Middle Tennessee,Ole Miss,51,70
Washington,Montana,58,66
Colorado,Omaha,91,49
Chattanooga,UNC Asheville,69,66
Syracuse,Northeastern,62,56
Denver,Northern Colorado,75,83
Oklahoma,Oral Roberts,79,65
Miami (FL),Pitt,55,70
Vanderbilt,Richmond,67,78
Troy,Samford,79,71
Cal Poly,San Diego,61,70
Cincinnati,South Florida,71,74
Alabama-Birmingham,Southern,88,46
Central Connecticut,St. Francis (NY),78,59
Jacksonville State,Tennessee Tech,74,50
Oklahoma State,TCU,76,77
Arizona State,UTEP,63,76
Oregon State,UTSA,73,61
Marshall,Toledo,87,96
Bryant,Wagner,74,62
Missouri State,William Jewell,73,64
Hampton,William & Mary,58,75
