home_team,away_team,home_score,away_score
Texas Tech,Kansas,57,58
St. John's (NY),Creighton,76,94
Loyola Marymount,UC-Irvine,51,48
Eastern Kentucky,Campbellsville,118,54
Seattle,College of Idaho,78,54
ETSU,Columbia International,96,54
North Alabama,Crowley's Ridge,99,51
Texas-Arlington,Dallas Christian,109,48
Coastal Carolina,Delaware State,99,73
Southern Utah,Dixie State,85,78
Nebraska,Doane College,110,64
Appalachian State,Greensboro,87,47
North Texas,Houston Baptist,85,55
Bradley,Jackson State,83,60
New Mexico,LeTourneau,90,58
Sacred Heart,LIU,87,72
Wyoming,Omaha,82,78
Saint Louis,NC State,80,69
Southern Illinois,North Dakota,85,64
Valparaiso,Purdue Northwest,89,71
Idaho State,SAGU Amer. Indian Coll.,89,54
Drexel,St. Joseph's,81,77
Oregon,San Francisco,74,64
Marquette,Seton Hall,63,70
Bryant,Wagner,81,75
