home_team,away_team,home_score,away_score
Gonzaga,Northwestern State,95,57
Baylor,Arkansas-Pine Bluff,99,42
Tennessee,St. Joseph's,102,66
Florida State,Gardner-Webb,72,59
Virginia Tech,Longwood,84,58
Missouri State,Little Rock,85,77
Samford,Belhaven (MS),133,84
Evansville,Belmont,63,72
Southern Utah,Bethesda University (CA),96,57
UMass,Bryant,88,93
Stanford,Cal State Bakersfield,63,50
Florida International,Carver College,111,34
Georgia State,College of Charleston,72,55
Lipscomb,Crowley's Ridge,97,60
North Florida,Edward Waters,98,71
Florida Atlantic,Florida College,107,72
Charleston Southern,Hampton,55,67
Kansas State,Jacksonville,70,46
Mississippi State,Mississippi Valley State,87,48
Clemson,Morehead State,66,51
Delaware,Morgan State,59,65
Austin Peay,Murray State,74,70
Boise State,New Mexico,77,53
Rice,New Orleans,73,62
Campbell,UNC Wilmington,59,78
Washington State,Prairie View,90,62
Wagner,Sacred Heart,74,46
Texas-Rio Grande Valley,Sam Houston State,66,69
Utah State,San Jose State,107,62
Furman,South Carolina State,118,52
Butler,Southern Illinois,73,76
BYU,Texas Southern,87,71
Northern Arizona,Texas State,65,70
Memphis,Tulsa,49,56
UMass-Lowell,Vermont,73,65
George Mason,VMI,68,66
Texas A&M,Wofford,70,52
