home_team,away_team,home_score,away_score
West Virginia,Kansas,49,58
Georgia Tech,Louisville,64,58
Seton Hall,Creighton,82,87
Auburn,Alabama,95,91
Villanova,Marquette,72,71
Butler,Xavier,66,61
South Florida,Houston,58,62
Hartford,Albany (NY),66,60
Miami (FL),Boston College,85,58
Navy,Bucknell,60,59
UC-Riverside,UC-Irvine,59,63
Niagara,Canisius,69,66
ETSU,Citadel,91,67
Pitt,Clemson,52,72
SMU,UConn,79,75
Missouri State,Drake,97,62
Tulsa,East Carolina,70,56
Texas A&M,Florida,61,78
San Jose State,Fresno State,78,84
Samford,Furman,71,86
VCU,George Mason,67,72
Lehigh,Holy Cross,89,82
Abilene Christian,Houston Baptist,81,67
Northern Iowa,Illinois State,71,63
Northwestern State,Incarnate Word,70,60
Bradley,Indiana State,72,61
Oklahoma,Iowa State,90,61
Army,Lafayette,65,48
Nicholls State,Lamar,69,65
Hawaii,Long Beach State,49,50
Evansville,Loyola (IL),66,73
American,Loyola (MD),81,76
UMass-Lowell,Maine,71,63
Wofford,Mercer,68,70
Northwestern,Michigan,54,79
Alabama-Birmingham,Middle Tennessee,83,72
Oral Roberts,Omaha,81,78
UNLV,Nevada,79,82
Vermont,New Hampshire,74,50
Central Arkansas,New Orleans,73,68
St. John's (NY),Providence,80,69
Towson,Regent,71,55
La Salle,Richmond,47,74
Ohio State,Rutgers,72,66
Southeastern Louisiana,Sam Houston State,70,79
Georgia,South Carolina,59,75
Valparaiso,Southern Illinois,55,38
Texas A&M-Corpus Christi,Stephen F. Austin,67,75
Binghamton,Stony Brook,70,75
Tulane,Temple,68,72
Chattanooga,VMI,86,67
UNC Greensboro,Western Carolina,82,62
South Dakota,Western Illinois,85,72
