home_team,away_team,home_score,away_score
Marquette,Villanova,68,85
Tennessee,USC Upstate,80,60
Ohio State,Rutgers,80,68
Creighton,Xavier,66,61
Penn State,Illinois,81,98
Notre Dame,Bellarmine,81,70
Pepperdine,Cal State Bakersfield,51,79
Iona,Coppin State,85,65
UNC Wilmington,Delaware State,87,63
Seton Hall,Georgetown,78,67
Northern Colorado,Idaho State,56,71
Saint Louis,UMKC,62,46
Boise State,New Mexico,89,52
Rider,NJIT,66,81
Indiana,Northwestern,67,74
Washington State,Northwestern State,62,52
Butler,Providence,70,64
St. Francis (NY),St. Peter's,64,70
Utah State,San Jose State,85,52
Grambling,Southeastern Louisiana,70,77
Tulsa,Southwestern Christian,102,45
UC-San Diego,St. Katherine,75,39
George Mason,Towson,70,65
BYU,Weber State,87,79
DePaul,Western Illinois,91,72
