home_team,away_team,home_score,away_score
Richmond,Wofford,77,72
Western Michigan,Adrian,62,42
Cal State Bakersfield,Bethesda University (CA),94,43
Middle Tennessee,Chattanooga,70,80
Citadel,Columbia International,96,57
Oregon,Eastern Washington,69,52
Hartford,Fairfield,67,54
North Florida,Florida Atlantic,77,79
UMBC,George Washington,92,81
Norfolk State,Hampton,76,64
Bradley,Lewis,95,62
Southeast Missouri State,Lipscomb,82,77
UCSB,Loyola Marymount,69,58
Eastern Kentucky,Morehead State,71,68
Coastal Carolina,North Carolina Central,78,71
East Carolina,UNC Wilmington,88,78
Arizona,Northern Arizona,96,53
Charlotte,South Carolina State,78,40
