home_team,away_team,home_score,away_score
Creighton,Marquette,84,89
Maryland,Rutgers,60,74
McNeese State,Arlington Baptist,110,64
Presbyterian,Carver College,85,46
Ole Miss,Central Arkansas,68,54
Morehead State,Eastern Kentucky,75,62
Radford,Longwood,67,66
Austin Peay,McKendree,82,68
San Diego,Nevada,72,79
Colorado State,Northern Arizona,91,52
Colorado,Northern Colorado,81,45
LSU,Sam Houston State,88,66
Central Michigan,St. Francis (IL),91,39
Texas-Rio Grande Valley,Texas A&M-International,89,51
Youngstown State,West Virginia Tech,80,66
George Washington,William & Mary,84,85
