home_team,away_team,home_score,away_score
Vanderbilt,Alcorn State,87,59
UMBC,Binghamton,74,67
UC-Irvine,UCSB,75,56
Monmouth,Canisius,84,66
Jacksonville State,Carver College,104,45
Providence,DePaul,95,90
Indiana State,Drake,63,81
Southern Illinois,Evansville,63,57
Wright State,Green Bay,90,77
New Hampshire,Hartford,77,69
Loyola (IL),Illinois State,90,60
Stony Brook,UMass-Lowell,73,58
Northern Iowa,Missouri State,59,79
Vermont,NJIT,92,78
Detroit,Oakland,80,83
Eastern Michigan,Olivet,94,65
Purdue-Fort Wayne,Robert Morris,87,82
Cleveland State,Youngstown State,81,74
