home_team,away_team,home_score,away_score
Wisconsin,Minnesota,71,59
Maryland,Michigan,73,84
Oregon,California,82,69
Washington,Arizona,53,80
San Jose State,Boise State,54,106
Winthrop,Campbell,94,76
Wake Forest,Catawba,70,62
USC,Colorado,62,72
Hampton,Gardner-Webb,69,80
Incarnate Word,McMurry,92,71
New Mexico,Nevada,54,68
Longwood,UNC Asheville,65,55
Idaho,Northern Arizona,65,78
Presbyterian,Radford,65,63
San Francisco,San Diego,70,62
High Point,USC Upstate,51,60
UCLA,Utah,72,70
Air Force,Utah State,48,83
