home_team,away_team,home_score,away_score
Baylor,Stephen F. Austin,83,52
Wisconsin,Rhode Island,73,62
Texas,Texas State,74,53
Texas Tech,Abilene Christian,51,44
Richmond,Northern Iowa,78,68
Florida State,Indiana,69,67
Eastern Michigan,Adrian,95,35
Arkansas State,Arkansas-Pine Bluff,74,75
BYU,Boise State,70,74
St. Francis (NY),Bryant,93,91
Arizona,Cal State Bakersfield,85,60
Pepperdine,California,74,62
New Orleans,Campbell,70,79
Citadel,Carver College,102,51
Fairleigh Dickinson,Central Connecticut,79,71
Bellarmine,Chattanooga,68,77
Loyola (IL),Chicago State,88,51
Northern Colorado,Colorado Christian,87,62
Wyoming,Denver,83,61
Evansville,Eastern Illinois,68,65
Oregon,Florida A&M,87,66
Jacksonville,Florida National University,78,69
San Jose State,Fresno Pacific,87,79
Cincinnati,Furman,78,73
Nebraska,Georgia Tech,64,75
Washington State,Idaho,61,58
Louisiana-Monroe,Lamar,60,63
Missouri,Liberty,69,60
Radford,Mars Hill,98,50
College of Charleston,Marshall,72,84
Clemson,Maryland,67,51
Drake,McKendree,90,66
VCU,North Carolina A&T,95,59
Xavier,Oklahoma,99,77
Northwestern,Pitt,70,71
Youngstown State,Point Park,72,52
TCU,Providence,70,79
UCLA,San Diego,83,56
Cal Poly,Santa Clara,69,76
Washington,Seattle,73,41
Lipscomb,Southeast Missouri State,80,74
Louisiana Tech,Southeastern Louisiana,78,69
Arkansas,Southern,79,44
Valparaiso,SIU-Edwardsville,80,58
Tulane,Southern Miss,58,38
Utah Valley,Southern Utah,71,81
UNC Wilmington,St. Andrews,116,66
Hofstra,Stony Brook,72,67
Michigan,Toledo,91,71
Morehead State,Transylvania,77,55
Alabama-Birmingham,Tuskegee,89,64
Miami (OH),Western Illinois,67,57
