home_team,away_team,home_score,away_score
Gonzaga,Northern Arizona,88,58
Wisconsin,Maryland,64,70
Minnesota,Michigan State,81,56
UMBC,Binghamton,69,75
UC-Irvine,UCSB,73,69
Monmouth,Canisius,97,69
Troy,Carver College,88,35
Arizona,Colorado,88,74
Indiana State,Drake,66,73
Southern Illinois,Evansville,72,84
Colorado State,Fresno State,75,53
New Hampshire,Hartford,53,51
Loyola (IL),Illinois State,86,55
Southern Miss,Loyola (LA),74,54
Stony Brook,UMass-Lowell,71,64
Northern Iowa,Missouri State,85,75
Cal State Northridge,New Mexico State,66,63
Vermont,NJIT,80,81
