home_team,away_team,home_score,away_score
Iowa,UNC,93,80
Kansas,Creighton,73,72
Duke,Illinois,68,83
Tennessee,Colorado,56,47
Virginia Tech,Penn State,55,75
Rutgers,Syracuse,79,69
Notre Dame,Ohio State,85,90
Murray State,Austin Peay,87,57
Northern Illinois,Ball State,70,79
Minnesota,Boston College,85,80
St. Francis (NY),Bryant,82,101
USC,UC-Irvine,91,56
Jacksonville,Campbell,78,80
Charleston Southern,Carver College,94,59
Saint Louis,Central Arkansas,88,65
Fairleigh Dickinson,Central Connecticut,87,94
Utah State,College of Idaho,90,64
Georgetown,Coppin State,80,48
UMBC,Delaware,76,61
New Orleans,Florida National University,74,57
Kansas State,Fort Hays State,68,81
Marquette,Green Bay,82,68
VMI,Greensboro,100,65
Utah,Idaho State,75,59
Mississippi State,Jackson State,82,59
Detroit,Kent State,66,80
La Salle,Lincoln (PA),80,62
Louisiana,Louisiana State-Alexandria,90,75
Memphis,Mississippi Valley State,94,57
Georgia,Montana,63,50
Iona,Morgan State,72,83
Longwood,North Carolina A&T,77,60
Dayton,Northern Kentucky,66,60
Portland State,Northwest University,88,48
Oklahoma State,Oral Roberts,83,78
Miami (FL),Purdue,58,54
St. John's (NY),Rider,82,79
Mount St. Mary's,Saint Francis (PA),75,57
South Florida,Stetson,73,62
Belmont,Tennessee State,79,64
Saint Mary's,UTEP,73,61
Indiana State,Truman State,80,66
Seton Hall,Wagner,78,45
Weber State,Westminster (UT),85,73
South Alabama,William Carey,80,67
