home_team,away_team,home_score,away_score
Michigan State,Western Michigan,79,61
Georgetown,West Virginia,71,80
Texas,Villanova,64,68
Texas Tech,Grambling,81,40
Georgia Tech,Kentucky,79,62
Howard,Bellarmine,63,84
Marist,Binghamton,64,60
Bowling Green State,Buffalo,86,78
UCLA,California,76,56
Denver,UC-Riverside,63,83
North Alabama,Carver College,107,40
Little Rock,Central Arkansas,86,83
Michigan,UCF,80,58
Western Illinois,Central Michigan,73,79
Ohio,Cleveland State,101,46
Drexel,Coppin State,69,54
Notre Dame,Detroit,78,70
Longwood,Greensboro,64,67
Sam Houston State,Howard Payne,117,54
Valparaiso,Judson,85,45
Army,La Salle,63,59
Northwestern State,Louisiana-Monroe,83,92
Stephen F. Austin,Louisiana State-Alexandria,97,79
LSU,Louisiana Tech,86,55
Western Kentucky,Mississippi Valley State,96,69
Wichita State,Missouri,62,72
Quinnipiac,New Hampshire,64,58
Appalachian State,North Carolina Wesleyan,81,57
TCU,Oklahoma,78,82
San Diego State,Pepperdine,65,60
Southern Illinois,Quincy,102,61
Long Beach State,Seattle,80,75
Penn State,Seton Hall,92,98
Mercer,Southern Wesleyan,96,85
Drake,St. Ambrose,97,53
North Carolina A&T,Stanford,46,78
Florida,Stetson,86,40
St. John's (NY),Stony Brook,89,66
Western Carolina,Tennessee Tech,76,75
Texas A&M,Texas-Rio Grande Valley,81,68
Alabama-Birmingham,Troy,77,55
Oregon State,Wyoming,73,76
Cincinnati,Xavier,69,77
