home_team,away_team,home_score,away_score
San Diego State,New Mexico,82,59
Dayton,Rhode Island,81,67
Maryland,Nebraska,72,70
Vanderbilt,Kentucky,64,78
Purdue,Penn State,76,88
Illinois,Michigan State,69,70
LSU,Missouri,82,78
Boise State,Air Force,74,57
Tennessee,Arkansas,82,61
Akron,Bowling Green State,74,59
Central Michigan,Eastern Michigan,70,73
Davidson,Fordham,79,49
Toledo,Miami (OH),65,57
Ole Miss,Mississippi State,83,58
Wake Forest,UNC,74,57
Syracuse,NC State,74,79
Ball State,Northern Illinois,63,59
Virginia,Notre Dame,50,49
Kansas State,Oklahoma State,59,64
St. Joseph's,St. Bonaventure,56,74
Colorado State,Utah State,72,75
Ohio,Western Michigan,73,61
