home_team,away_team,home_score,away_score
Louisiana-Monroe,Arkansas State,84,72
Long Beach State,Cal State Bakersfield,90,89
UCSB,Cal State Fullerton,81,63
IUPUI,Cleveland State,62,65
Coastal Carolina,Georgia State,81,69
Youngstown State,Green Bay,84,77
Northern Kentucky,Purdue-Fort Wayne,75,68
Kennesaw State,Jacksonville,57,62
Akron,Kent State,66,62
Lipscomb,Liberty,77,70
Louisiana Tech,Marshall,75,68
Incarnate Word,McMurry,81,54
Robert Morris,Milwaukee,67,64
Montana State,Montana Western,96,67
Marist,Niagara,63,61
Florida International,Old Dominion,82,67
Fairfield,Rider,62,70
Canisius,St. Peter's,70,58
Georgia Southern,South Alabama,59,88
Little Rock,Texas-Arlington,102,93
Southern Miss,UTEP,74,66
Rice,UTSA,95,86
Louisiana,Texas State,83,77
Bellarmine,Transylvania,90,40
Appalachian State,Troy,56,69
Charlotte,Western Kentucky,63,67
Oakland,Wright State,51,90
