home_team,away_team,home_score,away_score
Gonzaga,BYU,86,69
Maryland,Iowa,67,89
Wisconsin,Indiana,80,73
Northwestern,Illinois,56,81
Colorado,Oregon,79,72
Bryant,Central Connecticut,93,68
SMU,Cincinnati,69,76
Southern Utah,Idaho,85,80
Northern Arizona,Idaho State,69,73
Eastern Kentucky,Jacksonville State,69,66
Northern Colorado,Montana State,67,79
St. Francis (NY),Mount St. Mary's,70,55
Eastern Illinois,Murray State,74,68
San Diego State,Nevada,65,60
Colorado State,UNLV,74,71
Hofstra,Northeastern,78,81
San Francisco,Portland,88,64
Merrimack,Sacred Heart,97,90
LIU,Saint Francis (PA),78,75
Belmont,Southeast Missouri State,77,66
Arizona,USC,73,87
Texas-Rio Grande Valley,St. Mary's (TX),96,67
Tennessee State,UT-Martin,74,62
Morehead State,Tennessee Tech,57,54
Arizona State,UCLA,75,81
Stanford,Washington,91,75
California,Washington State,60,71
