home_team,away_team,home_score,away_score
Gonzaga,Dixie State,112,67
Baylor,Central Arkansas,93,56
Tulsa,Houston,65,64
West Virginia,Northeastern,73,51
Iowa,Northwestern,87,72
Texas Tech,Incarnate Word,79,51
Rutgers,Purdue,81,76
Clemson,Florida State,77,67
Virginia Tech,Miami (FL),80,78
Eastern Michigan,Central Michigan,60,87
McNeese State,Champion Christian,94,36
Abilene Christian,Dallas Christian,82,44
Lipscomb,Freed-Hardeman,93,72
Sam Houston State,Mary Hardin-Baylor,101,59
Alabama,Ole Miss,82,64
Kansas State,Omaha,60,58
USC,Santa Clara,86,63
Memphis,South Florida,58,57
Lamar,Southeastern Louisiana,74,64
LSU,Texas A&M,77,54
Mercer,Wofford,65,78
