home_team,away_team,home_score,away_score
Kansas,Iowa State,91,71
Alcorn State,Arkansas-Pine Bluff,60,52
Delaware State,Bethune-Cookman,70,71
Holy Cross,Bucknell,48,69
Norfolk State,Coppin State,80,60
Maryland-Eastern Shore,Florida A&M,81,71
Texas Southern,Grambling,93,79
Portland State,Idaho,90,69
Prairie View,Jackson State,70,61
Southern,Mississippi Valley State,95,62
South Carolina State,Morgan State,72,78
Notre Dame,UNC,77,76
North Carolina A&T,North Carolina Central,77,60
St. John's (NY),Xavier,74,77
