home_team,away_team,home_score,away_score
Washington,Baylor,52,86
Kentucky,Richmond,64,76
Creighton,North Dakota State,69,58
Houston,Texas Tech,64,53
Arizona State,Houston Baptist,100,77
Ohio State,UMass-Lowell,74,64
Rutgers,Hofstra,70,56
Michigan,Oakland,81,71
Samford,Alabama A&M,76,78
Iowa State,Arkansas-Pine Bluff,80,63
Morehead State,Arkansas State,69,61
Sam Houston State,Boise State,55,86
Georgia,Florida A&M,85,75
Murray State,Greenville,173,95
South Alabama,Jacksonville State,73,77
TCU,Liberty,56,52
Tulane,Lipscomb,68,66
Maryland,Mount St. Mary's,79,61
Arizona Christian,New Mexico State,77,83
Texas A&M,New Orleans,82,53
Miami (FL),North Florida,77,59
Portland,Northwest University,74,69
Louisiana Tech,Northwestern State,91,77
Incarnate Word,Our Lady of the Lake,84,71
Louisville,Prairie View,86,64
James Madison,Radford,67,59
Rhode Island,San Francisco,84,71
Air Force,Seattle,45,63
Tulsa,South Carolina,58,69
Virginia Tech,South Florida,76,58
UCSB,St. Katherine,92,55
