home_team,away_team,home_score,away_score
Baylor,Alcorn State,105,76
Missouri,Tennessee,53,73
Notre Dame,Virginia,57,66
Ohio State,Nebraska,90,54
Auburn,Arkansas,85,97
Tennessee State,Austin Peay,59,68
NC State,Boston College,79,76
Ohio,Bowling Green State,75,83
Providence,Butler,71,55
Winthrop,Campbell,84,83
McNeese State,Champion Christian,91,76
UConn,DePaul,82,61
Eastern Kentucky,Eastern Illinois,69,61
Vanderbilt,Florida,72,91
Colorado State,Fresno State,81,59
Chattanooga,Furman,73,77
Hampton,Gardner-Webb,80,69
UMass,George Mason,92,93
Fordham,George Washington,47,71
Dayton,La Salle,65,67
Delaware State,Manhattan,59,65
Georgia,Mississippi State,73,83
Belmont,Murray State,68,55
Wichita State,Newman,81,43
Georgia Tech,UNC,72,67
Longwood,UNC Asheville,73,80
Indiana,Penn State,87,85
Seattle,Portland,84,68
TCU,Prairie View,66,61
Presbyterian,Radford,65,71
Davidson,Richmond,74,80
Saint Mary's,Sacramento State,63,45
Xavier,Seton Hall,68,85
High Point,USC Upstate,63,52
Tennessee Tech,Southeast Missouri State,72,63
Temple,SMU,71,79
Rhode Island,St. Bonaventure,63,57
Jacksonville State,UT-Martin,80,70
St. Joseph's,VCU,64,80
Samford,VMI,84,71
ETSU,Western Carolina,86,78
