home_team,away_team,home_score,away_score
Missouri,Illinois,81,78
Tennessee,Cincinnati,65,56
UNC,North Carolina Central,73,67
Texas Tech,Texas A&M-Corpus Christi,77,57
Florida State,Florida,83,71
ETSU,Alabama-Birmingham,61,65
Tulane,Arkansas-Pine Bluff,67,56
Lipscomb,Belmont,71,81
Pepperdine,Cal State Northridge,84,89
Loyola Marymount,UCSB,81,76
McNeese State,Carver College,96,53
Arkansas,Central Arkansas,100,75
Northwestern State,Champion Christian,77,44
Alabama,Clemson,56,64
Middle Tennessee,Covenant,76,57
Kennesaw State,Dalton State,72,62
Western Michigan,Detroit,57,67
Denver,Dixie State,70,73
Furman,Flagler,86,61
Oklahoma,Florida A&M,85,54
Miami (FL),Florida Gulf Coast,62,66
North Florida,Florida International,80,77
California Baptist,Fresno Pacific,110,71
Pitt,Gardner-Webb,67,50
Coastal Carolina,Greensboro,103,45
UNC Asheville,High Point,80,67
Cal State Bakersfield,Idaho,76,66
Ball State,Illinois State,82,66
Purdue,Indiana State,80,68
Fairfield,Iona,67,52
Drexel,La Salle,48,58
Louisiana,Louisiana Tech,61,56
Canisius,Marist,52,56
Abilene Christian,McMurry,83,46
Auburn,Memphis,74,71
Dayton,Mississippi State,85,82
Toledo,UMKC,64,57
St. Peter's,Niagara,53,49
Ole Miss,UNC Wilmington,78,58
North Dakota,North Dakota State,52,53
Chattanooga,North Georgia,81,63
Kentucky,Notre Dame,63,64
Wichita State,Oklahoma State,64,67
VCU,Old Dominion,77,54
Washington,Oregon,71,74
Texas State,Our Lady of the Lake,58,61
Manhattan,Rider,87,77
Georgia,Samford,79,75
Southern Miss,South Alabama,75,76
South Dakota,South Dakota State,91,78
Louisiana-Monroe,Stephen F. Austin,66,55
Bryant,Stony Brook,81,72
Boston College,Syracuse,63,101
IUPUI,Tennessee State,69,66
Texas A&M,TCU,55,73
Arizona,UTEP,69,61
Eastern Kentucky,Transylvania,81,60
BYU,Utah,82,64
Central Michigan,Valparaiso,84,79
North Carolina A&T,Western Carolina,98,104
Eastern Illinois,Western Illinois,92,88
USC Upstate,Winthrop,77,95
South Florida,Wofford,58,56
Utah Valley,Wyoming,88,93
