home_team,away_team,home_score,away_score
Oregon,Colorado,68,60
Indiana,Iowa,89,77
Georgia State,Appalachian State,76,65
California,Arizona,52,68
Stanford,Arizona State,69,74
Texas State,Little Rock,74,66
Texas-Arlington,Arkansas State,77,67
Loyola Marymount,BYU,54,77
Sacred Heart,Bryant,74,65
Cal State Northridge,Cal Poly,81,73
UC-Davis,UCSB,84,75
North Texas,Charlotte,81,72
Cal State Bakersfield,Chicago State,64,54
Oakland,Cleveland State,79,74
Georgia Southern,Coastal Carolina,79,69
Hofstra,College of Charleston,76,63
Elon,Delaware,75,81
William & Mary,Drexel,77,72
Morehead State,Eastern Kentucky,71,78
Southern Miss,Florida Atlantic,68,66
Kennesaw State,Florida Gulf Coast,58,70
Louisiana Tech,Florida International,60,57
Campbell,Hampton,75,49
Charleston Southern,High Point,66,63
Eastern Washington,Idaho,71,74
Montana State,Idaho State,73,69
North Florida,Jacksonville,81,66
Tennessee Tech,Jacksonville State,75,74
Central Connecticut,LIU,74,90
UNC Asheville,Longwood,73,71
South Alabama,Louisiana,78,75
Troy,Louisiana-Monroe,71,74
UTSA,Marshall,72,63
Cincinnati,Memphis,92,86
St. Francis (NY),Merrimack,50,60
Grand Canyon,UMKC,71,66
Austin Peay,Murray State,71,68
Lipscomb,NJIT,77,63
Stetson,North Alabama,75,64
Northeastern,UNC Wilmington,71,63
Northern Arizona,Northern Colorado,54,84
Rice,Old Dominion,70,73
Pacific,Portland,75,55
Radford,Presbyterian,81,71
Mount St. Mary's,Robert Morris,60,77
Pepperdine,San Diego,72,69
Santa Clara,San Francisco,61,70
New Mexico State,Seattle,72,64
Eastern Illinois,SIU-Edwardsville,74,76
Sacramento State,Southern Utah,70,55
Southeast Missouri State,UT-Martin,74,72
Belmont,Tennessee State,74,51
Oregon State,Utah,70,51
Texas-Rio Grande Valley,Utah Valley,80,72
Fairleigh Dickinson,Wagner,106,73
USC,Washington,62,56
UCLA,Washington State,86,83
Montana,Weber State,72,37
California Baptist,Westcliff,107,45
UTEP,Western Kentucky,62,67
UCF,Wichita State,58,75
Gardner-Webb,Winthrop,74,70
Detroit,Youngstown State,72,76
