home_team,away_team,home_score,away_score
Iowa,Northern Illinois,106,53
Michigan State,Oakland,109,91
West Virginia,Richmond,87,71
Ohio State,Cleveland State,67,61
Grand Canyon,Arizona State,70,71
Drake,Air Force,81,53
Troy,Central Baptist,61,44
VMI,Hampton,79,64
UNC Asheville,High Point,90,84
South Carolina State,Jacksonville,58,60
Tennessee Tech,Jacksonville State,67,73
UIC,Loyola (IL),66,77
Coppin State,UMBC,49,66
Northeastern,UMass,78,75
Georgia Southern,Mercer,75,77
Western Michigan,Milwaukee,63,71
Vanderbilt,Mississippi Valley State,84,41
Rice,New Mexico,61,72
UNC Greensboro,Norfolk State,64,47
Indiana,North Alabama,87,52
Kent State,Northern Kentucky,92,73
Seattle,Northwest University,89,40
Marshall,Ohio,81,67
Michigan,Penn State,62,58
Washington State,Portland State,69,60
Western Kentucky,Rhode Island,68,65
Cal State Fullerton,San Diego Christian,94,70
California,San Francisco,72,70
Cal Poly,San Jose State,75,71
Georgetown,St. John's (NY),97,94
Boise State,Weber State,70,59
USC Upstate,Winthrop,77,107
Bowling Green State,Wright State,67,85
Montana State,Yellowstone Christian,114,74
Binghamton,Youngstown State,65,79
