home_team,away_team,home_score,away_score
Iowa,Western Illinois,99,58
Kansas,Washburn,89,54
Virginia Tech,VMI,64,57
California,Arizona State,62,70
Eastern Illinois,Chicago State,78,56
Coastal Carolina,Columbia International,113,56
USC,UConn,58,61
Grambling,East Texas Baptist,68,59
Boston College,Florida,70,90
Florida Atlantic,Florida National University,128,64
Sacramento State,Idaho,77,55
Rice,LeTourneau,94,74
Louisiana Tech,Louisiana-Monroe,78,62
Wright State,Marshall,64,80
NC State,UMass-Lowell,90,59
Southern Utah,Montana,64,63
Drake,Omaha,87,66
Western Carolina,Newberry,91,84
Syracuse,Niagara,75,45
Citadel,North Carolina A&T,78,70
TCU,Northwestern State,74,68
Bowling Green State,Purdue Northwest,88,67
Drexel,Quinnipiac,70,58
Liberty,Saint Francis (PA),78,62
UCLA,Seattle,78,52
Pepperdine,St. Katherine,94,45
Northern Kentucky,Tennessee Tech,74,65
Oklahoma,UTSA,105,66
Saint Mary's,Texas Southern,82,70
Utah,Washington,76,62
Little Rock,Winthrop,75,80
