home_team,away_team,home_score,away_score
UNLV,UNC,51,78
Davidson,Texas,76,78
Duquesne,Little Rock,66,76
UCF,Auburn,63,55
Appalachian State,Bowling Green State,76,78
Tennessee Tech,Chattanooga,54,62
Xavier,Eastern Kentucky,99,96
Stetson,Emmanuel,61,64
Hofstra,Fairleigh Dickinson,73,58
Mercer,Georgia State,86,69
Providence,Indiana,58,79
Seton Hall,Iona,86,64
Minnesota,Loyola Marymount,67,64
Kansas State,UMKC,62,58
Jacksonville State,Mobile,85,66
California,Nicholls State,60,49
Nevada,Pacific,70,58
Western Carolina,Piedmont,96,58
Cal State Northridge,Seattle,76,65
LSU,Southeastern Louisiana,96,43
Campbell,St. Andrews,85,51
Boston College,St. John's (NY),93,97
Alabama,Stanford,64,82
SMU,Texas A&M-Corpus Christi,91,54
Wyoming,Texas Southern,74,76
Mississippi State,Texas State,68,51
