home_team,away_team,home_score,away_score
Michigan State,Purdue,54,55
Boise State,Air Force,80,69
Louisiana,Little Rock,66,64
Cal State Bakersfield,Cal Poly,62,49
Utah Valley,California Baptist,77,50
Bryant,Central Connecticut,76,64
Davidson,Dayton,78,89
Old Dominion,Florida Atlantic,71,67
Middle Tennessee,Florida International,55,68
Appalachian State,Georgia Southern,66,63
Tarleton State,Grand Canyon,72,75
UC-Riverside,Hawaii,83,88
Purdue-Fort Wayne,UIC,96,89
Milwaukee,IUPUI,94,70
Liberty,Kennesaw State,69,63
Bellarmine,Lipscomb,72,77
Cal State Fullerton,Long Beach State,80,82
Western Kentucky,Louisiana Tech,66,64
Quinnipiac,Manhattan,84,79
Stephen F. Austin,Midwestern State,87,71
St. Francis (NY),Mount St. Mary's,67,55
North Dakota State,Omaha,71,69
Oral Roberts,North Dakota,71,72
Jacksonville,North Florida,66,65
UTSA,North Texas,70,77
Cleveland State,Northern Kentucky,58,44
Green Bay,Oakland,84,81
Toledo,Ohio,95,78
UTEP,Rice,101,89
Niagara,Rider,70,76
Merrimack,Sacred Heart,62,68
LIU,Saint Francis (PA),71,58
Fresno State,San Jose State,79,64
Coastal Carolina,South Alabama,78,65
UMKC,South Dakota,64,66
Alabama-Birmingham,Southern Miss,72,60
North Alabama,Stetson,77,86
Louisiana-Monroe,Texas-Arlington,64,77
New Mexico,Utah State,46,82
South Dakota State,Western Illinois,83,77
Wright State,Youngstown State,72,74
