home_team,away_team,home_score,away_score
SMU,Houston,60,74
Michigan,Northwestern,85,66
Minnesota,Ohio State,77,60
Vermont,Albany (NY),74,66
Colgate,Army,73,75
Hartford,Binghamton,77,74
Delaware,College of Charleston,59,66
South Dakota,Denver,79,57
George Washington,Duquesne,75,73
Northeastern,Elon,66,58
Sacramento State,Fresno Pacific,85,54
Missouri State,Indiana State,70,66
Lafayette,Lehigh,82,70
North Dakota,UMKC,53,77
Siena,Monmouth,78,77
James Madison,Morgan State,73,80
Bucknell,Navy,60,63
Maine,New Hampshire,58,62
UMass-Lowell,NJIT,74,60
South Carolina State,North Carolina A&T,66,73
Western Illinois,North Dakota State,67,78
Evansville,Northern Iowa,70,64
Omaha,Oral Roberts,75,86
Rhode Island,St. Joseph's,85,77
Drake,Southern Illinois,73,55
Georgia Tech,Wake Forest,70,54
Hofstra,William & Mary,82,73
