home_team,away_team,home_score,away_score
NC State,Duke,88,66
Louisville,Syracuse,90,66
DePaul,Villanova,71,91
Georgia,Auburn,65,55
Seton Hall,Butler,74,72
Houston,Tulsa,76,43
Houston Baptist,Abilene Christian,68,82
Fresno State,Air Force,71,62
Loyola (MD),Army,81,77
San Jose State,Boise State,62,80
Virginia,Boston College,78,65
Lafayette,Boston University,61,59
Washington State,California,57,66
UMKC,California Baptist,69,63
Stephen F. Austin,Central Arkansas,83,68
Cincinnati,UCF,87,89
Citadel,Chattanooga,68,91
Memphis,East Carolina,77,73
La Salle,Fordham,58,49
ETSU,Furman,75,66
Richmond,George Mason,65,50
Duquesne,George Washington,67,70
Wake Forest,Georgia Tech,79,86
Loyola (IL),Illinois State,84,69
Minnesota,Indiana,56,68
Siena,Iona,65,64
Texas Tech,Kansas State,69,62
Sam Houston State,Lamar,65,77
Colgate,Lehigh,70,67
UC-Irvine,Long Beach State,70,55
Arkansas State,Louisiana-Monroe,52,66
Incarnate Word,McNeese State,65,59
Virginia Tech,Miami (FL),95,102
Rutgers,Michigan,52,60
Bradley,Missouri State,83,79
American,Navy,71,62
Northwestern State,Nicholls State,69,73
South Dakota,North Dakota State,74,77
Georgetown,Providence,63,73
Mercer,Samford,106,66
Mississippi State,South Carolina,79,76
North Dakota,South Dakota State,83,94
Tulane,SMU,80,72
Alabama,Texas A&M,68,74
Texas,TCU,70,56
Drake,Valparaiso,77,75
Western Carolina,VMI,71,74
UNC Greensboro,Wofford,83,79
Utah State,Wyoming,78,58
