home_team,away_team,home_score,away_score
Baylor,West Virginia,70,59
Pepperdine,Gonzaga,77,89
Kansas,Oklahoma,87,70
Clemson,Louisville,77,62
UMass,Dayton,63,71
Duke,Notre Dame,94,60
Florida State,Syracuse,80,77
Michigan State,Maryland,60,67
Providence,Seton Hall,74,71
Missouri,Auburn,85,73
Kentucky,Ole Miss,67,62
Penn State,Northwestern,77,61
Oregon State,Colorado,47,69
Butler,Georgetown,66,73
SMU,Houston,73,72
Rutgers,Illinois,72,57
Creighton,DePaul,93,64
Oklahoma State,Texas Tech,73,70
Alabama,LSU,88,82
Texas A&M-Corpus Christi,Abilene Christian,64,78
Alabama State,Alabama A&M,61,58
Middle Tennessee,Alabama-Birmingham,66,79
Bucknell,American,72,68
Georgia Southern,Appalachian State,57,62
Stanford,Arizona,60,69
Texas-Arlington,Little Rock,76,65
Southern,Arkansas-Pine Bluff,73,49
Texas State,Arkansas State,69,64
Maryland-Eastern Shore,Bethune-Cookman,66,58
Vermont,Binghamton,76,48
Navy,Boston University,54,77
Ball State,Bowling Green State,71,77
Southern Illinois,Bradley,67,69
San Diego,BYU,71,72
Princeton,Brown,73,54
Central Connecticut,Bryant,75,70
Cal State Fullerton,Cal Poly,105,101
UC-Davis,Cal State Northridge,110,98
Hawaii,UC-Irvine,63,70
Long Beach State,UC-Riverside,65,63
Sam Houston State,Central Arkansas,82,67
UNC Asheville,Charleston Southern,79,75
Rice,Charlotte,70,54
Furman,Chattanooga,58,53
Grand Canyon,Chicago State,71,47
Detroit,Cleveland State,66,67
Georgia State,Coastal Carolina,92,80
Northeastern,College of Charleston,65,51
Wyoming,Colorado State,70,77
Harvard,Columbia,77,73
South Carolina State,Coppin State,70,66
Dartmouth,Cornell,75,53
William & Mary,Delaware,81,77
Elon,Drexel,75,70
VMI,ETSU,67,72
UT-Martin,Eastern Illinois,80,79
Austin Peay,Eastern Kentucky,93,85
Portland State,Eastern Washington,81,89
Robert Morris,Fairleigh Dickinson,71,72
Delaware State,Florida A&M,95,97
Louisiana Tech,Florida Atlantic,81,68
Lipscomb,Florida Gulf Coast,64,54
Southern Miss,Florida International,75,67
George Mason,George Washington,67,73
Texas A&M,Georgia,74,69
Prairie View,Grambling,75,69
Milwaukee,Green Bay,90,94
Longwood,Hampton,76,68
Lamar,Houston Baptist,79,69
Montana,Idaho State,78,63
New Orleans,Incarnate Word,66,67
Texas Southern,Jackson State,77,74
Belmont,Jacksonville State,101,84
TCU,Kansas State,68,57
Stetson,Kennesaw State,59,42
Saint Louis,La Salle,84,69
Holy Cross,Lafayette,62,72
Army,Lehigh,79,66
Troy,Louisiana,77,81
South Alabama,Louisiana-Monroe,50,49
Santa Clara,Loyola Marymount,59,65
UTEP,Marshall,61,71
Hartford,UMass-Lowell,67,74
Northwestern State,McNeese State,84,79
Arkansas,Mississippi State,77,78
Alcorn State,Mississippi Valley State,92,88
Cal State Bakersfield,UMKC,53,59
Murray State,Morehead State,85,57
Norfolk State,Morgan State,62,57
New Mexico,UNLV,73,78
UMBC,New Hampshire,65,59
Liberty,NJIT,62,49
North Florida,North Alabama,80,67
Mercer,UNC Greensboro,55,67
Hofstra,UNC Wilmington,78,64
Western Illinois,North Dakota,83,86
Sacramento State,Northern Colorado,65,68
Miami (OH),Northern Illinois,65,60
Loyola (IL),Northern Iowa,82,73
Kent State,Ohio,87,72
North Texas,Old Dominion,64,47
Saint Mary's,Pacific,71,63
Virginia Tech,Pitt,67,57
Ohio State,Purdue,68,52
Campbell,Radford,60,73
LIU,Sacred Heart,72,80
Mount St. Mary's,Saint Francis (PA),55,70
Rhode Island,St. Joseph's,73,55
Citadel,Samford,62,74
Air Force,San Jose State,95,86
Texas-Rio Grande Valley,Seattle,79,72
High Point,USC Upstate,62,54
Oral Roberts,South Dakota,94,80
Nicholls State,Southeastern Louisiana,81,71
Southeast Missouri State,SIU-Edwardsville,75,71
Northern Arizona,Southern Utah,82,69
South Carolina,Tennessee,63,61
Tennessee State,Tennessee Tech,70,55
Iowa State,Texas,81,52
James Madison,Towson,48,63
South Florida,Tulsa,48,56
Fresno State,Utah State,59,71
New Mexico State,Utah Valley,84,82
Illinois State,Valparaiso,62,65
Florida,Vanderbilt,84,66
UNC,Virginia,62,64
Richmond,VCU,77,59
Merrimack,Wagner,68,59
Miami (FL),Wake Forest,71,54
UCLA,Washington,67,57
USC,Washington State,70,51
Montana State,Weber State,77,63
Wofford,Western Carolina,74,80
UTSA,Western Kentucky,73,77
Eastern Michigan,Western Michigan,69,51
Presbyterian,Winthrop,88,89
Nebraska,Wisconsin,64,81
Penn,Yale,69,61
Oakland,Youngstown State,72,64
