home_team,away_team,home_score,away_score
Northwestern,Michigan State,79,65
Houston,Alcorn State,88,55
UConn,Creighton,74,76
Texas,Oklahoma State,77,74
Rutgers,Illinois,91,88
Nevada,Air Force,66,68
James Madison,Alice Lloyd,98,55
UTEP,Benedictine,79,59
Georgia Southern,Carver College,119,43
Arkansas State,Champion Christian,90,50
Drake,Chicago State,111,67
Purdue-Fort Wayne,Cleveland State,80,89
Georgia Tech,Delaware State,97,69
North Alabama,Freed-Hardeman,82,56
St. John's (NY),Georgetown,94,83
San Francisco,Grand Canyon,68,65
Iowa State,Jackson State,60,45
Hartford,Maine,65,50
Manhattan,Marist,67,72
Xavier,Marquette,91,88
Albany (NY),UMBC,60,65
Green Bay,Milwaukee,62,74
Old Dominion,Northeastern,66,62
UIC,Oakland,90,73
Central Michigan,Olivet,127,66
Arkansas,Oral Roberts,87,76
UTSA,Our Lady of the Lake,102,70
Seton Hall,Providence,77,80
Marshall,Robert Morris,85,71
Minnesota,Saint Louis,90,82
Binghamton,Stony Brook,70,80
Colorado,Washington,92,69
Portland State,Weber State,74,72
UT-Martin,Western Illinois,63,81
Detroit,Wright State,72,85
Northern Kentucky,Youngstown State,60,70
