home_team,away_team,home_score,away_score
Gonzaga,West Virginia,87,82
Baylor,Illinois,82,69
UNC,Texas,67,69
Missouri,Oregon,83,75
Florida State,North Florida,86,58
Ohio State,Morehead State,77,44
Northwestern,Arkansas-Pine Bluff,92,49
Memphis,Arkansas State,83,54
Florida,Army,76,69
Michigan,Ball State,84,65
Santa Clara,Cal State Bakersfield,53,47
McNeese State,Dallas Christian,140,37
UNLV,Davidson,73,77
USC Upstate,Eastern Kentucky,78,95
UT-Martin,Evansville,93,87
Central Michigan,Flagler,73,92
South Florida,Florida Gulf Coast,76,57
Illinois State,Greenville,177,108
Fairfield,Hartford,61,66
SMU,Houston Baptist,102,75
Wyoming,Incarnate Word,94,83
Stanford,Indiana,63,79
Alabama-Birmingham,Kennesaw State,73,48
UC-Irvine,La Sierra,104,54
Cincinnati,Lipscomb,67,55
New Orleans,Louisiana,63,66
Pacific,Montana State,74,70
Middle Tennessee,Murray State,78,61
Duquesne,UNC Greensboro,81,68
Dixie State,North Dakota,74,73
Georgia,North Georgia,84,62
Norfolk State,Old Dominion,66,80
Wichita State,Oral Roberts,85,80
Washington State,Oregon State,59,55
Kent State,Point Park,90,41
Jacksonville,Presbyterian,78,65
Alabama,Providence,88,71
Drexel,Quinnipiac,66,48
Nevada,San Francisco,60,85
Rhode Island,Seton Hall,76,63
Clemson,South Carolina State,75,38
Iowa State,South Dakota State,68,71
California Baptist,Southeastern Louisiana,80,81
Southeast Missouri State,Southern Illinois,79,87
Northern Illinois,SIU-Edwardsville,53,73
Furman,Southern Wesleyan,89,49
BYU,St. John's (NY),74,68
San Diego State,St. Katherine,83,41
Texas A&M,Tarleton State,73,66
Xavier,Tennessee Tech,79,48
Texas-Rio Grande Valley,Texas A&M-Corpus Christi,62,59
Arkansas,Texas-Arlington,72,60
Penn State,VCU,72,69
Utah Valley,Westminster (UT),79,71
Southern Miss,William Carey,80,53
