home_team,away_team,home_score,away_score
Portland,Gonzaga,88,116
TCU,Baylor,49,67
West Virginia,Texas,70,72
Kansas,Oklahoma,63,59
Creighton,St. John's (NY),97,79
Texas A&M,Tennessee,54,68
Houston,Tulane,71,50
Rutgers,Ohio State,68,79
Utah,Oregon,73,79
Iowa State,Texas Tech,64,91
Duke,Wake Forest,79,68
Boston College,Virginia,49,61
Eastern Michigan,Akron,71,59
Auburn,Alabama,90,94
Arkansas-Pine Bluff,Alabama State,91,82
St. Joseph's,Albany (NY),67,64
Louisiana,Little Rock,76,78
Holy Cross,Army,68,83
Eastern Illinois,Austin Peay,71,74
Buffalo,Ball State,86,69
Charlotte,Belmont Abbey,72,75
Central Michigan,Bowling Green State,65,93
Cal State Bakersfield,Cal Poly,67,50
Utah Valley,California Baptist,81,77
UC-San Diego,UC-Irvine,65,79
Longwood,Campbell,58,64
Citadel,Chattanooga,92,87
Boston University,Colgate,79,86
Butler,UConn,60,72
William & Mary,Delaware,67,62
College of Charleston,Drexel,61,60
Old Dominion,Florida Atlantic,64,55
Middle Tennessee,Florida International,67,56
Duquesne,Fordham,48,45
Winthrop,Gardner-Webb,75,65
Syracuse,Georgetown,74,69
Arkansas,Georgia,99,69
Appalachian State,Georgia Southern,77,71
Tarleton State,Grand Canyon,48,59
UMass-Lowell,Hartford,71,62
UC-Riverside,Hawaii,70,68
Northeastern,Hofstra,67,56
Lamar,Houston Baptist,71,65
Southern Utah,Idaho,83,67
Northern Arizona,Idaho State,70,76
Purdue-Fort Wayne,UIC,88,55
Evansville,Illinois State,57,48
New Orleans,Incarnate Word,86,64
Milwaukee,IUPUI,71,63
Morehead State,Jacksonville State,56,55
Liberty,Kennesaw State,76,47
Florida,Kentucky,58,76
UMass,La Salle,83,67
Bucknell,Lafayette,60,83
Bellarmine,Lipscomb,58,65
Cal State Fullerton,Long Beach State,75,72
Ole Miss,LSU,61,75
Western Kentucky,Louisiana Tech,58,63
NJIT,Maine,63,54
Quinnipiac,Manhattan,42,45
Monmouth,Marist,80,64
New Hampshire,UMBC,54,69
NC State,Miami (FL),59,64
Vanderbilt,Mississippi State,81,84
Valparaiso,Missouri State,68,81
Northern Colorado,Montana State,74,76
Norfolk State,Morgan State,74,78
Lehigh,Navy,61,69
North Dakota State,Omaha,80,66
San Diego State,Nevada,69,67
Colorado State,UNLV,83,80
Hampton,UNC Asheville,73,71
Oral Roberts,North Dakota,74,57
Jacksonville,North Florida,68,70
UTSA,North Texas,77,69
Miami (OH),Northern Illinois,70,58
Cleveland State,Northern Kentucky,74,71
Portland State,Northwest Nazarene,72,75
McNeese State,Northwestern State,75,78
Green Bay,Oakland,87,78
Kansas State,Oklahoma State,54,70
Charleston Southern,Radford,64,79
VCU,Rhode Island,68,83
UTEP,Rice,68,71
George Mason,Richmond,57,77
Niagara,Rider,66,55
Seattle,Saint Martin's,98,63
Central Arkansas,Sam Houston State,80,91
Saint Mary's,Santa Clara,64,66
DePaul,Seton Hall,68,76
Fairfield,Siena,58,74
Coastal Carolina,South Alabama,83,69
UMKC,South Dakota,62,68
East Carolina,South Florida,63,69
Nicholls State,Southeastern Louisiana,87,67
Grambling,Southern,55,61
Arizona State,USC,64,73
Alabama-Birmingham,Southern Miss,62,58
North Alabama,Stetson,73,66
Belmont,UT-Martin,89,69
Eastern Kentucky,Tennessee Tech,90,80
Louisiana-Monroe,Texas-Arlington,74,75
Arizona,UCLA,76,81
Binghamton,Vermont,60,76
California,Washington,84,78
Stanford,Washington State,75,60
South Dakota State,Western Illinois,92,63
Kent State,Western Michigan,80,54
Montana,Whitworth,84,67
UNC Greensboro,Wofford,45,48
Wright State,Youngstown State,93,55
