home_team,away_team,home_score,away_score
Marquette,Wisconsin,67,65
Duke,Bellarmine,76,54
Michigan State,Detroit,83,76
Creighton,Kennesaw State,93,58
Virginia,Kent State,71,64
Texas Tech,Troy,80,46
Seton Hall,Oregon,70,83
Austin Peay,Carver College,102,38
Memphis,Central Arkansas,85,68
Hartford,Central Connecticut,80,65
Boise State,College of Idaho,86,49
Arkansas State,Crowley's Ridge,115,49
Sam Houston State,Dallas Christian,117,42
Stony Brook,Fairfield,72,69
Charlotte,Georgia State,65,76
Georgia,Jacksonville,98,65
Florida International,Jacksonville State,74,70
Loyola Marymount,Long Beach State,85,61
Stephen F. Austin,McNeese State,86,76
Minnesota,North Dakota,76,67
Mississippi State,North Texas,69,63
Texas-Rio Grande Valley,Our Lady of the Lake,91,68
Maryland,St. Peter's,90,57
Cal Poly,San Francisco,60,88
Auburn,South Alabama,90,81
Bradley,South Dakota State,84,88
California Baptist,Southeastern Louisiana,83,66
Northern Iowa,St. Ambrose,98,53
Miami (FL),Stetson,82,60
UTSA,Sul Ross State,91,62
Tulsa,Texas-Arlington,79,64
Eastern Michigan,Toledo,74,91
Purdue,Valparaiso,68,61
UC-Davis,William Jessup,95,62
