home_team,away_team,home_score,away_score
Texas,Iowa State,78,72
TCU,Kansas,64,93
Mississippi State,Missouri,78,63
Michigan State,Rutgers,68,45
Texas Tech,Kansas State,82,71
Clemson,NC State,74,70
Gardner-Webb,Campbell,85,70
Bowling Green State,Central Michigan,90,69
Marquette,UConn,65,54
Duquesne,Davidson,61,48
Fordham,Dayton,55,54
Coppin State,Delaware State,81,77
Alabama,Florida,86,71
James Madison,Florida Atlantic,79,70
Radford,Hampton,76,65
Boston University,Holy Cross,66,68
USC Upstate,Longwood,65,59
Miami (FL),UNC,65,67
Ohio,Northern Illinois,76,73
Kent State,Toledo,82,84
Kentucky,Vanderbilt,77,74
Charleston Southern,Winthrop,76,78
