home_team,away_team,home_score,away_score
Oklahoma,Baylor,54,65
VCU,Dayton,61,66
Maryland,Northwestern,76,67
Florida State,Pitt,82,67
Penn State,Illinois,56,62
LSU,Kentucky,76,79
Marquette,Creighton,65,73
West Virginia,Oklahoma State,65,47
Western Michigan,Akron,67,71
Florida,Arkansas,73,59
Buffalo,Ball State,72,59
Ohio,Central Michigan,77,69
UNLV,Colorado State,80,56
St. Joseph's,Davidson,73,72
Central Connecticut,Fairleigh Dickinson,76,75
Eastern Michigan,Kent State,70,49
Bryant,Merrimack,61,52
Missouri,Ole Miss,71,68
Wagner,Mount St. Mary's,67,61
New Mexico,Nevada,74,88
Wisconsin,Purdue,69,65
Saint Francis (PA),Robert Morris,86,71
UMass,Saint Louis,67,63
LIU,St. Francis (NY),77,87
Texas-Rio Grande Valley,Texas-Permian Basin,93,80
Tennessee,Vanderbilt,65,61
