home_team,away_team,home_score,away_score
Boise State,San Diego State,55,72
Temple,Villanova,56,76
Oregon,Utah,80,62
Minnesota,Iowa,55,58
Maine,Albany (NY),60,66
California,Arizona State,75,80
East Carolina,Cincinnati,67,70
Loyola (MD),Colgate,84,80
Omaha,Denver,85,62
Fordham,Duquesne,54,59
Drake,Evansville,85,80
St. Peter's,Fairfield,61,44
Northern Kentucky,UIC,43,73
Michigan,Indiana,89,65
South Dakota State,Purdue-Fort Wayne,75,64
Wright State,IUPUI,106,66
Siena,Manhattan,65,52
Iona,Marist,78,70
UConn,Memphis,64,61
Indiana State,Missouri State,58,71
Niagara,Monmouth,77,72
Boston College,NC State,71,68
Rider,Quinnipiac,79,63
Wichita State,Tulane,82,57
