home_team,away_team,home_score,away_score
Oklahoma State,West Virginia,84,87
Youngstown State,,109,56
San Jose State,Benedictine,80,64
Holy Cross,Boston University,76,83
Gardner-Webb,Campbell,61,70
San Diego State,Colorado State,78,65
Coppin State,Delaware State,86,78
Radford,Hampton,79,66
Alabama State,Jackson State,44,60
USC Upstate,Longwood,71,69
Indiana,Maryland,63,55
Siena,Monmouth,76,62
South Dakota State,Mount Marty,93,50
Montana,Northern Colorado,56,54
Drake,Southern Illinois,86,55
Oregon State,Stanford,71,81
Charleston Southern,Winthrop,69,85
Fresno State,Wyoming,81,61
