home_team,away_team,home_score,away_score
Gonzaga,Iowa,99,88
Kansas State,Baylor,69,100
Villanova,St. Joseph's,88,68
Wisconsin,Louisville,85,48
Florida State,UCF,74,86
Ohio State,UCLA,77,70
Kentucky,UNC,63,75
Stanford,Arizona,78,75
Indiana State,Ball State,67,57
Dixie State,Bethesda University (CA),90,69
Syracuse,Buffalo,107,96
Indiana,Butler,68,60
Loyola Marymount,Cal Poly,76,52
California,Cal State Northridge,87,56
Pepperdine,UCSB,63,75
NC State,Campbell,69,50
Stetson,Carver College,95,51
Alabama-Birmingham,Chattanooga,66,69
Georgia,Cincinnati,83,68
Longwood,Citadel,89,91
Purdue-Fort Wayne,Cleveland State,61,63
Saint Mary's,Colorado State,53,33
Virginia Tech,Coppin State,97,57
Tennessee State,Crowley's Ridge,90,68
La Salle,Delaware,71,61
Fairleigh Dickinson,Drexel,68,85
Northern Arizona,Eastern Washington,64,80
Niagara,Fairfield,81,61
North Florida,Flagler,66,73
Fresno State,Fresno Pacific,78,65
Winthrop,Furman,87,71
Florida International,Georgia Southern,99,103
Tulane,Grambling,77,65
William & Mary,High Point,49,71
St. Bonaventure,Hofstra,77,69
Oklahoma,Houston Baptist,84,65
Rider,Iona,64,72
Miami (FL),Jacksonville,73,64
East Carolina,James Madison,73,64
UMKC,Kansas Christian,98,42
UMKC,Kansas Christian,95,36
Louisiana Tech,Lamar,86,57
ETSU,Lee (OH),62,53
Southern Miss,Louisiana-Monroe,60,47
Hartford,Maine,63,60
Akron,Malone,93,83
Manhattan,Marist,39,61
Albany (NY),UMBC,64,65
Louisiana,McNeese State,75,65
Bradley,Miami (OH),69,68
Green Bay,Milwaukee,65,68
Dayton,Ole Miss,65,62
Temple,NJIT,72,60
Charlotte,North Carolina A&T,76,72
Elon,UNC Greensboro,64,71
Missouri State,Northwestern State,94,67
UIC,Oakland,74,72
Texas A&M-Corpus Christi,Our Lady of the Lake,99,72
Oregon,Portland,80,41
Notre Dame,Purdue,78,88
Vanderbilt,Radford,59,50
Sam Houston State,Rice,82,69
Monmouth,St. Peter's,76,78
Kennesaw State,Samford,63,65
UC-Irvine,San Diego,85,53
Alabama A&M,South Alabama,93,90
Cal State Bakersfield,St. Katherine,87,46
Binghamton,Stony Brook,59,73
Denver,Texas State,68,70
Auburn,Troy,77,41
Toledo,Valparaiso,71,57
Morgan State,West Virginia Tech,67,73
Alabama,Western Kentucky,71,73
Detroit,Wright State,70,93
Northern Kentucky,Youngstown State,79,64
