home_team,away_team,home_score,away_score
Iowa,Iowa State,105,77
Kansas,Omaha,95,50
Creighton,Nebraska,98,74
Georgetown,Villanova,63,76
West Virginia,North Texas,62,50
Charlotte,Appalachian State,57,61
Arkansas State,Central Baptist,81,69
Houston Baptist,Champion Christian,93,60
Eastern Washington,College of Idaho,80,56
Delaware,George Washington,68,65
Davidson,Georgia Southern,77,45
Texas-Arlington,Hardin-Simmons,91,66
Fairfield,Iona,42,70
Texas Southern,LeTourneau,103,60
Canisius,Marist,81,72
UCLA,Marquette,69,60
Kansas State,Milwaukee,76,75
Miami (OH),Mt. St. Joseph,79,64
Southern Illinois,Murray State,70,66
Grand Canyon,Nevada,87,77
St. Peter's,Niagara,70,54
UMass,Northeastern,94,79
Northern Colorado,Regis,83,58
Manhattan,Rider,64,82
Saint Mary's,San Jose State,96,61
College of Charleston,South Carolina State,90,63
North Dakota State,South Dakota,74,67
North Dakota,South Dakota State,62,74
Seton Hall,St. John's (NY),77,68
