home_team,away_team,home_score,away_score
Wisconsin,Green Bay,82,42
Duke,Michigan State,69,75
Kentucky,Kansas,62,65
Creighton,Omaha,94,67
Hartford,Villanova,53,87
Stanford,UNC,63,67
Virginia,Saint Francis (PA),76,51
Indiana,Texas,44,66
New Mexico State,Benedictine,92,54
New Hampshire,Bryant,85,93
Washington,UC-Riverside,42,57
Florida International,Central Michigan,96,76
Toledo,Cleveland State,70,61
Samford,Covenant,98,73
Providence,Davidson,63,62
Dayton,Eastern Illinois,66,63
South Alabama,Emmanuel,86,47
George Washington,Hampton,78,82
Abilene Christian,Howard Payne,81,51
Bradley,Judson,105,32
Stephen F. Austin,LeTourneau,102,57
Morgan State,Lincoln (PA),102,94
VMI,Longwood,84,71
Grand Canyon,Mississippi Valley State,88,49
Georgetown,Navy,71,78
Alabama,UNLV,86,74
Saint Mary's,Nicholls State,73,50
Charleston Southern,North Carolina A&T,63,70
East Carolina,North Carolina Wesleyan,91,62
Purdue,Oakland,93,50
Marquette,Oklahoma State,62,70
Nebraska,South Dakota,76,69
BYU,USC,53,79
St. Peter's,Stony Brook,82,68
UIC,Valparaiso,66,50
Louisville,Western Kentucky,75,54
UNC Greensboro,Winthrop,67,75
