home_team,away_team,home_score,away_score
Gonzaga,Northwestern State,95,78
Kansas,West Virginia,79,65
Iowa,Purdue,70,55
Houston,Temple,76,50
Wisconsin,Nebraska,67,53
Missouri,Bradley,54,53
Oklahoma,Texas Tech,67,69
Virginia,William & Mary,76,40
NC State,UNC,79,76
Arkansas,Abilene Christian,85,72
Liberty,Alcorn State,108,65
Auburn,Appalachian State,67,53
Western Michigan,Ball State,68,76
George Washington,Charlotte,65,66
Tennessee State,Chattanooga,63,66
UCF,Cincinnati,75,70
Grand Canyon,Colorado,64,74
Santa Clara,Colorado State,57,70
Alabama,ETSU,85,69
Fairfield,Fairleigh Dickinson,65,69
Florida Gulf Coast,Georgia Southern,73,60
Charleston Southern,Hampton,68,70
Eastern Kentucky,High Point,86,67
Richmond,Hofstra,71,76
Texas-Arlington,Howard Payne,117,53
Northern Colorado,Idaho State,69,64
VCU,James Madison,82,81
Maryland,La Salle,84,71
UTSA,Lamar,88,66
North Texas,Louisiana State-Alexandria,110,78
Louisiana-Monroe,Louisiana Tech,57,68
Pitt,Louisville,54,64
Boston College,Maine,78,62
Kennesaw State,Mercer,71,81
Arizona,Montana,70,64
Portland,Montana State,62,59
Albany (NY),Niagara,65,70
Marshall,UNC Asheville,88,67
North Carolina A&T,UNC Greensboro,65,86
Drake,North Dakota,88,55
TCU,North Dakota State,89,82
Georgia,Northeastern,76,58
Denver,Northern Arizona,65,68
Toledo,Northern Illinois,78,55
Akron,Ohio,90,70
Texas A&M-Corpus Christi,Paul Quinn,59,35
Oregon State,Portland State,67,62
Citadel,Presbyterian,94,82
Wagner,Sacred Heart,85,86
San Diego State,Saint Mary's,74,49
California,Seattle,70,65
Indiana State,Southeast Missouri State,72,66
Loyola (IL),St. Francis (IL),92,55
UC-San Diego,St. Katherine,77,51
Ole Miss,UT-Martin,90,43
Western Kentucky,Tennessee Tech,88,68
East Carolina,Tulane,68,58
Davidson,Vanderbilt,85,65
UMass-Lowell,Vermont,53,62
Old Dominion,Virginia Wesleyan,77,57
South Florida,Wichita State,77,82
