home_team,away_team,home_score,away_score
Baylor,Oklahoma State,78,70
Saint Mary's,Gonzaga,60,90
TCU,Kansas,46,60
Air Force,San Diego State,74,89
Louisville,Virginia,80,73
Dayton,Saint Louis,71,65
UNC,Duke,96,98
Florida State,Miami (FL),99,81
Villanova,Seton Hall,64,70
Auburn,LSU,91,90
Oklahoma,West Virginia,69,59
Oregon State,Oregon,63,53
Tennessee,Kentucky,64,77
Michigan,Michigan State,77,68
Iowa,Nebraska,96,72
Creighton,St. John's (NY),94,82
Penn State,Minnesota,83,77
Arizona,UCLA,52,65
Colorado,Stanford,81,74
Georgia,Alabama,102,105
Arkansas-Pine Bluff,Alabama A&M,54,58
Mississippi Valley State,Alabama State,74,87
Jackson State,Alcorn State,86,57
Missouri,Arkansas,83,79
Little Rock,Arkansas State,90,87
American,Army,72,62
Belmont,Austin Peay,71,63
Western Michigan,Ball State,68,64
Utah State,Boise State,70,61
Virginia Tech,Boston College,73,77
Loyola (MD),Bucknell,78,65
Utah,California,60,45
Cal State Fullerton,UC-Davis,81,87
UCSB,UC-Irvine,64,61
Cal State Northridge,UC-Riverside,61,59
McNeese State,Central Arkansas,76,82
Bryant,Central Connecticut,64,60
Wofford,Chattanooga,77,84
Youngstown State,Cleveland State,67,55
Yale,Dartmouth,75,57
Norfolk State,Delaware State,85,57
Georgetown,DePaul,76,72
Northern Kentucky,Detroit,84,65
Northern Iowa,Drake,83,73
Tulane,East Carolina,67,81
Mercer,ETSU,60,73
SIU-Edwardsville,Eastern Kentucky,83,75
Akron,Eastern Michigan,59,58
College of Charleston,Elon,65,72
Ole Miss,Florida,68,51
Florida Atlantic,Florida International,59,66
UNLV,Fresno State,68,67
Western Carolina,Furman,73,82
USC Upstate,Gardner-Webb,57,88
Louisiana,Georgia Southern,79,86
Louisiana-Monroe,Georgia State,69,77
Pitt,Georgia Tech,73,64
California Baptist,Grand Canyon,98,103
UIC,Green Bay,71,58
Charleston Southern,Hampton,85,72
Brown,Harvard,72,71
Cal Poly,Hawaii,79,75
Boston University,Holy Cross,77,68
Florida A&M,Howard,82,78
Illinois State,Indiana State,74,67
Denver,Purdue-Fort Wayne,63,70
NJIT,Jacksonville,54,65
UT-Martin,Jacksonville State,61,75
Delaware,James Madison,80,78
Iowa State,Kansas State,73,63
Abilene Christian,Lamar,84,49
Lafayette,Lehigh,59,62
North Alabama,Liberty,56,74
Kennesaw State,Lipscomb,66,72
Marshall,Louisiana Tech,83,79
Binghamton,Maine,75,82
UMass-Lowell,UMBC,50,60
Morgan State,Maryland-Eastern Shore,61,53
LIU,Merrimack,67,64
Ohio,Miami (OH),77,46
IUPUI,Milwaukee,79,80
Southern Illinois,Missouri State,68,66
Idaho,Montana,71,82
Eastern Washington,Montana State,74,49
Eastern Illinois,Morehead State,71,65
St. Francis (NY),Mount St. Mary's,70,67
Tennessee State,Murray State,65,73
Colgate,Navy,67,60
South Dakota State,Omaha,81,64
UMKC,New Mexico State,61,67
Stephen F. Austin,New Orleans,81,74
Bethune-Cookman,North Carolina A&T,78,73
Coppin State,North Carolina Central,63,68
Florida Gulf Coast,North Florida,60,69
Alabama-Birmingham,North Texas,64,71
Hofstra,Northeastern,75,71
Weber State,Northern Arizona,76,70
Houston Baptist,Northwestern State,79,93
Wright State,Oakland,83,71
North Dakota State,Oral Roberts,83,76
Columbia,Penn,67,76
Pacific,Pepperdine,79,78
San Diego,Portland,88,81
Southern Utah,Portland State,85,57
Campbell,Presbyterian,79,62
Cornell,Princeton,73,62
Xavier,Providence,64,58
Indiana,Purdue,62,74
High Point,Radford,70,81
George Washington,Rhode Island,51,82
Middle Tennessee,Rice,83,91
Fordham,Richmond,53,59
Sacred Heart,Robert Morris,58,61
Idaho State,Sacramento State,59,63
Wagner,Saint Francis (PA),68,85
La Salle,St. Joseph's,83,66
Nicholls State,Sam Houston State,88,82
BYU,San Francisco,90,76
Nevada,San Jose State,95,77
Utah Valley,Seattle,85,87
North Dakota,South Dakota,68,82
Memphis,South Florida,73,75
Incarnate Word,Southeastern Louisiana,82,75
Grambling,Southern,66,62
Arizona State,USC,66,64
Temple,SMU,97,90
Western Kentucky,Southern Miss,75,72
Duquesne,St. Bonaventure,80,83
New Hampshire,Stony Brook,81,64
Southeast Missouri State,Tennessee Tech,60,62
South Carolina,Texas A&M,74,54
Coastal Carolina,Texas-Arlington,89,75
Old Dominion,UTEP,72,53
Chicago State,Texas-Rio Grande Valley,64,75
Charlotte,UTSA,91,84
Prairie View,Texas Southern,69,59
Appalachian State,Texas State,60,57
Texas,Texas Tech,57,62
Bowling Green State,Toledo,85,83
Drexel,Towson,69,76
Mississippi State,Vanderbilt,80,70
Hartford,Vermont,68,69
Citadel,VMI,64,75
Syracuse,Wake Forest,75,73
UNC Wilmington,William & Mary,70,64
Longwood,Winthrop,68,70
New Mexico,Wyoming,97,68
