home_team,away_team,home_score,away_score
Arizona State,San Diego State,68,80
Northern Arizona,UC-Riverside,50,74
Campbell,Florida National University,122,92
Western Kentucky,Gardner-Webb,86,84
Ole Miss,Jackson State,80,45
San Francisco,Long Beach State,107,62
Minnesota,UMKC,90,61
Western Illinois,Mt. St. Joseph,80,55
Jacksonville,New Orleans,77,70
Coppin State,UNC Greensboro,85,80
South Dakota,North Dakota,71,75
South Dakota State,North Dakota State,77,75
East Carolina,North Florida,73,67
Oregon State,Portland,86,87
Ohio,Purdue Northwest,92,72
Texas A&M-Corpus Christi,Texas-Rio Grande Valley,64,68
Morehead State,Transylvania,81,55
North Alabama,Troy,57,62
