home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Loyola Chicago,Southern Illinois,20,2021-02-27,19.0,0.0,0.8319,Southern Illinois,Southern Illinois,7.0
Oklahoma,Oklahoma St.,3,2021-02-27,5.0,1.0,0.7935,Oklahoma,Oklahoma St.,-4.0
Sacramento St.,Weber St.,-7,2021-02-27,-6.5,0.0,0.7888,Weber St.,Weber St.,-2.0
Eastern Michigan,Northern Illinois,4,2021-02-27,3.5,0.0,0.7858,Northern Illinois,Northern Illinois,34.0
Stanford,Oregon St.,7,2021-02-27,7.0,0.0,0.7475,Oregon St.,Oregon St.,-11.0
San Diego,Pepperdine,-4,2021-02-27,-4.5,0.0,0.7412,Pepperdine,Pepperdine,-6.0
Wofford,Furman,-1,2021-02-27,-1.5,0.0,0.7401,Furman,Furman,1.0
East Tennessee St.,UNC Greensboro,1,2021-02-27,1.0,1.0,0.7397,East Tennessee St.,UNC Greensboro,-11.0
Loyola MD,Navy,-3,2021-02-27,0.5,0.0,0.7379,Navy,Navy,-6.0
George Mason,La Salle,5,2021-02-27,7.0,0.0,0.7294,La Salle,La Salle,35.0
Central Arkansas,Abilene Christian,-17,2021-02-27,-17.0,0.0,0.7140000000000001,Abilene Christian,Abilene Christian,2.0
Georgia Southern,Appalachian St.,-1,2021-02-27,2.5,0.0,0.7093,Appalachian St.,Appalachian St.,8.0
South Carolina St.,Florida A&M,-10,2021-02-27,-9.0,1.0,0.7034,South Carolina St.,Florida A&M,6.0
North Carolina A&T,North Carolina Central,4,2021-02-27,3.5,0.0,0.7033,North Carolina Central,North Carolina Central,2.0
Wisconsin,Illinois,-1,2021-02-27,4.5,0.0,0.6892,Illinois,Illinois,-5.0
Idaho St.,Montana,-3,2021-02-27,-2.5,0.0,0.6867,Montana,Montana,-1.0
Texas St.,Louisiana Monroe,9,2021-02-27,10.0,0.0,0.6816,Louisiana Monroe,Louisiana Monroe,4.0
Hawaii,Long Beach St.,7,2021-02-27,6.5,0.0,0.6746,Long Beach St.,Long Beach St.,3.0
BYU,Saint Mary's,8,2021-02-27,7.5,1.0,0.6726,BYU,Saint Mary's,14.0
Western Carolina,Mercer,-7,2021-02-27,-5.0,0.0,0.6608,Mercer,Mercer,24.0
Kansas,Baylor,-6,2021-02-27,-4.0,0.0,0.6587,Baylor,Baylor,13.0
Arkansas,LSU,4,2021-02-27,6.0,1.0,0.6569,Arkansas,LSU,8.0
Jacksonville St.,Austin Peay,5,2021-02-27,3.5,0.0,0.6549,Austin Peay,Austin Peay,8.0
High Point,USC Upstate,5,2021-02-27,5.0,0.0,0.6513,USC Upstate,USC Upstate,5.0
Texas Tech,Texas,2,2021-02-27,3.5,1.0,0.6511,Texas Tech,Texas,9.0
West Virginia,Kansas St.,18,2021-02-27,15.0,1.0,0.648,West Virginia,Kansas St.,22.0
Nebraska,Minnesota,-4,2021-02-27,-2.5,1.0,0.647,Nebraska,Minnesota,4.0
Southern Miss,Florida Atlantic,-1,2021-02-27,-1.5,0.0,0.6441,Florida Atlantic,Florida Atlantic,-7.0
South Dakota,North Dakota St.,2,2021-02-27,1.5,0.0,0.639,North Dakota St.,North Dakota St.,9.0
New Orleans,Nicholls St.,-4,2021-02-27,-4.0,0.0,0.6346,Nicholls St.,Nicholls St.,-4.0
Vanderbilt,Mississippi,-3,2021-02-27,-8.0,0.0,0.6345,Mississippi,Mississippi,5.0
Lamar,Stephen F. Austin,-10,2021-02-27,-10.0,1.0,0.631,Lamar,Stephen F. Austin,5.0
Kentucky,Florida,-1,2021-02-27,2.0,1.0,0.6306,Kentucky,Florida,-4.0
Miami OH,Kent St.,-2,2021-02-27,-2.0,0.0,0.6237,Kent St.,Kent St.,-13.0
Virginia Tech,Wake Forest,10,2021-02-27,10.5,1.0,0.6192,Virginia Tech,Wake Forest,38.0
California,Oregon,-8,2021-02-27,-9.0,1.0,0.6177,California,Oregon,-11.0
Mississippi Valley St.,Jackson St.,-21,2021-02-27,-22.0,0.0,0.6139,Jackson St.,Jackson St.,-14.0
Arizona St.,Washington St.,3,2021-02-27,3.5,1.0,0.6138,Arizona St.,Washington St.,3.0
Illinois St.,Northern Iowa,1,2021-02-27,-4.5,0.0,0.6112,Northern Iowa,Northern Iowa,-7.0
Mississippi St.,Alabama,-6,2021-02-27,-6.0,1.0,0.6058,Mississippi St.,Alabama,-5.0
Stetson,North Florida,4,2021-02-27,5.5,0.0,0.6019,North Florida,North Florida,17.0
