home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Georgia,South Carolina,5,2021-02-27,5.5,0.0,0.6017,South Carolina,South Carolina,-21.0
UNC Wilmington,Elon,4,2021-02-27,2.0,1.0,0.6017,UNC Wilmington,Elon,-3.0
Louisiana Tech,Rice,12,2021-02-27,12.0,1.0,0.5969,Louisiana Tech,Rice,21.0
Eastern Kentucky,Tennessee St.,13,2021-02-27,13.5,1.0,0.5947,Eastern Kentucky,Tennessee St.,5.0
Connecticut,Marquette,7,2021-02-27,6.5,1.0,0.5944,Connecticut,Marquette,18.0
UT Arlington,Arkansas St.,2,2021-02-27,4.0,0.0,0.5936,Arkansas St.,Arkansas St.,8.0
UTSA,UAB,-4,2021-02-27,-3.5,1.0,0.5926,UTSA,UAB,17.0
Alabama St.,Texas Southern,-11,2021-02-27,-11.0,1.0,0.5875,Alabama St.,Texas Southern,-10.0
North Carolina,Florida St.,-2,2021-02-27,-2.0,1.0,0.5855,North Carolina,Florida St.,8.0
Troy,Coastal Carolina,-7,2021-02-27,-6.0,0.0,0.5827,Coastal Carolina,Coastal Carolina,-5.0
Iowa St.,TCU,-1,2021-02-27,1.0,1.0,0.5753,Iowa St.,TCU,-4.0
North Alabama,Lipscomb,-3,2021-02-27,-5.0,1.0,0.5743,North Alabama,Lipscomb,7.0
Hartford,Binghamton,8,2021-02-27,6.5,0.0,0.5661,Binghamton,Binghamton,17.0
Duquesne,Rhode Island,-1,2021-02-27,1.0,1.0,0.5649,Duquesne,Rhode Island,11.0
Duke,Louisville,4,2021-02-27,5.0,1.0,0.5639,Duke,Louisville,-7.0
Clemson,Miami FL,13,2021-02-27,13.0,1.0,0.5635,Clemson,Miami FL,8.0
Pacific,San Francisco,1,2021-02-27,-1.5,0.0,0.5619,San Francisco,San Francisco,7.0
Bradley,Drake,-7,2021-02-27,-8.5,1.0,0.5597,Bradley,Drake,6.0
Delaware St.,Coppin St.,-7,2021-02-27,-7.0,0.0,0.5583,Coppin St.,Coppin St.,-13.0
Tennessee Tech,Murray St.,-8,2021-02-27,-10.5,0.0,0.5563,Murray St.,Murray St.,10.0
Boston College,Notre Dame,-4,2021-02-27,-7.5,0.0,0.5539999999999999,Notre Dame,Notre Dame,4.0
Morehead St.,Belmont,-3,2021-02-27,-5.0,0.0,0.5539,Belmont,Belmont,7.0
Colorado St.,Air Force,20,2021-02-27,18.0,1.0,0.5534,Colorado St.,Air Force,23.0
Toledo,Western Michigan,18,2021-02-27,16.0,1.0,0.5477,Toledo,Western Michigan,47.0
UTEP,Charlotte,6,2021-02-27,5.0,1.0,0.5475,UTEP,Charlotte,23.0
Ohio,Buffalo,1,2021-02-27,1.5,1.0,0.5467,Ohio,Buffalo,-20.0
Oral Roberts,Western Illinois,11,2021-02-27,9.5,0.0,0.5427,Western Illinois,Western Illinois,4.0
Xavier,Creighton,-4,2021-02-27,-5.0,0.0,0.5413,Creighton,Creighton,8.0
Bellarmine,Liberty,-3,2021-02-27,-3.5,0.0,0.5396,Liberty,Liberty,-16.0
UCF,Temple,5,2021-02-27,5.5,0.0,0.5338,Temple,,
Colorado,UCLA,5,2021-02-27,6.5,1.0,0.532,Colorado,UCLA,9.0
Gonzaga,Loyola Marymount,24,2021-02-27,24.5,1.0,0.5298,Gonzaga,Loyola Marymount,17.0
Bucknell,American,4,2021-02-27,3.5,0.0,0.5297,American,American,-7.0
Northwestern St.,Southeastern Louisiana,3,2021-02-27,3.5,0.0,0.5293,Southeastern Louisiana,Southeastern Louisiana,18.0
Lafayette,Lehigh,8,2021-02-27,8.5,1.0,0.5253,Lafayette,Lehigh,6.0
Eastern Illinois,Tennessee Martin,9,2021-02-27,12.5,1.0,0.5229,Eastern Illinois,Tennessee Martin,-5.0
Northern Colorado,Portland St.,2,2021-02-27,1.5,1.0,0.5205,Northern Colorado,Portland St.,-8.0
Davidson,VCU,-1,2021-02-27,3.0,0.0,0.5202,VCU,VCU,8.0
Alabama A&M,Prairie View A&M,-7,2021-02-27,-9.5,0.0,0.5175,Prairie View A&M,Prairie View A&M,-1.0
Southern,Alcorn St.,7,2021-02-27,8.0,1.0,0.5158,Southern,Alcorn St.,14.0
Ball St.,Central Michigan,11,2021-02-27,11.5,1.0,0.5156,Ball St.,Central Michigan,6.0
Marshall,North Texas,1,2021-02-27,2.5,0.0,0.5132,North Texas,North Texas,1.0
Hampton,Presbyterian,2,2021-02-27,2.5,0.0,0.5132,Presbyterian,Presbyterian,2.0
Utah,USC,-7,2021-02-27,-4.5,1.0,0.5107,Utah,USC,10.0
McNeese St.,Houston Baptist,1,2021-02-27,4.0,0.0,0.5101,Houston Baptist,Houston Baptist,27.0
DePaul,Georgetown,-1,2021-02-27,-2.5,1.0,0.5087,DePaul,Georgetown,-8.0
Army,Boston University,7,2021-02-27,4.0,1.0,0.5087,Army,Boston University,-12.0
Georgia Tech,Syracuse,5,2021-02-27,4.5,0.0,0.5079,Syracuse,Syracuse,7.0
Little Rock,Louisiana,-1,2021-02-27,1.0,1.0,0.5077,Little Rock,Louisiana,10.0
SIU Edwardsville,Southeast Missouri St.,-1,2021-02-27,-2.5,1.0,0.5066,SIU Edwardsville,Southeast Missouri St.,-6.0
Arizona,Washington,15,2021-02-27,14.0,0.0,0.5046,Washington,Washington,1.0
Auburn,Tennessee,-4,2021-02-27,-7.5,1.0,0.5031,Auburn,Tennessee,5.0
San Diego St.,Boise St.,6,2021-02-27,6.0,0.0,0.5021,Boise St.,Boise St.,4.0
