home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Utah St.,Nevada,8,2021-02-26,7.5,0.0,0.7633,Nevada,Nevada,3
Bryant,LIU,9,2021-02-26,6.0,1.0,0.7477,Bryant,LIU,3
Central Connecticut,Wagner,-8,2021-02-26,-9.5,0.0,0.7290000000000001,Wagner,Wagner,6
Georgia Southern,Appalachian St.,-1,2021-02-26,1.5,0.0,0.6971,Appalachian St.,Appalachian St.,-6
Loyola Chicago,Southern Illinois,21,2021-02-26,19.0,0.0,0.6940000000000001,Southern Illinois,Southern Illinois,8
Merrimack,St. Francis NY,2,2021-02-26,2.5,0.0,0.6823,St. Francis NY,St. Francis NY,8
Akron,Bowling Green,5,2021-02-26,4.0,0.0,0.6734,Bowling Green,Bowling Green,-12
Texas St.,Louisiana Monroe,10,2021-02-26,9.5,1.0,0.6544,Texas St.,Louisiana Monroe,9
Troy,Coastal Carolina,-6,2021-02-26,-5.5,1.0,0.6543,Troy,Coastal Carolina,-16
UNLV,Fresno St.,5,2021-02-26,6.0,0.0,0.6539,Fresno St.,Fresno St.,1
Cincinnati,Tulane,5,2021-02-26,5.5,0.0,0.6531,Tulane,Tulane,20
UT Arlington,Arkansas St.,2,2021-02-26,4.0,1.0,0.6474,UT Arlington,Arkansas St.,2
Cal Poly,UC Davis,-8,2021-02-26,-6.5,1.0,0.6437,Cal Poly,UC Davis,-8
James Madison,Drexel,2,2021-02-26,2.0,1.0,0.6399,James Madison,Drexel,-6
St. Bonaventure,George Washington,16,2021-02-26,14.0,1.0,0.628,St. Bonaventure,George Washington,47
UTSA,UAB,-4,2021-02-26,-4.0,1.0,0.6206,UTSA,UAB,-7
Seattle,Grand Canyon,-6,2021-02-26,-6.0,0.0,0.6154,Grand Canyon,Grand Canyon,6
UC Irvine,UC San Diego,10,2021-02-26,11.5,1.0,0.6086,UC Irvine,UC San Diego,25
Louisiana Tech,Rice,10,2021-02-26,9.5,1.0,0.6041,Louisiana Tech,Rice,44
Little Rock,Louisiana,1,2021-02-26,1.5,1.0,0.6004,Little Rock,Louisiana,-5
Saint Louis,Richmond,3,2021-02-26,4.5,0.0,0.5885,Richmond,Richmond,5
Hawaii,Long Beach St.,8,2021-02-26,6.5,1.0,0.5763,Hawaii,Long Beach St.,2
Penn St.,Purdue,-1,2021-02-26,-0.5,1.0,0.574,Penn St.,Purdue,-21
Valparaiso,Indiana St.,-3,2021-02-26,-3.5,0.0,0.5563,Indiana St.,Indiana St.,-15
Southern Miss,Florida Atlantic,1,2021-02-26,-1.0,1.0,0.5562,Southern Miss,Florida Atlantic,-9
UC Riverside,UC Santa Barbara,-2,2021-02-26,-3.0,0.0,0.5501,UC Santa Barbara,UC Santa Barbara,-4
Marshall,North Texas,3,2021-02-26,4.5,0.0,0.5441,North Texas,North Texas,-12
Idaho,Montana St.,-12,2021-02-26,-12.0,0.0,0.544,Montana St.,Montana St.,5
Siena,Manhattan,11,2021-02-26,10.0,1.0,0.5435,Siena,Manhattan,5
Bradley,Drake,-7,2021-02-26,-9.0,1.0,0.5375,Bradley,Drake,-9
South Alabama,Georgia St.,-1,2021-02-26,-2.0,1.0,0.5341,South Alabama,Georgia St.,-3
Illinois St.,Northern Iowa,2,2021-02-26,-4.0,1.0,0.5281,Illinois St.,Northern Iowa,-14
South Dakota St.,UMKC,9,2021-02-26,8.5,1.0,0.523,South Dakota St.,UMKC,18
Denver,Nebraska Omaha,-1,2021-02-26,2.0,0.0,0.5147,Nebraska Omaha,Nebraska Omaha,-4
Evansville,Missouri St.,-6,2021-02-26,-5.0,0.0,0.5132,Missouri St.,Missouri St.,-9
Cal St. Bakersfield,Cal St. Northridge,10,2021-02-26,8.5,1.0,0.51,Cal St. Bakersfield,Cal St. Northridge,26
Northern Arizona,Southern Utah,-7,2021-02-26,-8.0,0.0,0.5095,Southern Utah,Southern Utah,-30
Tarleton St.,New Mexico St.,-5,2021-02-26,-8.5,0.0,0.5085,New Mexico St.,New Mexico St.,-27
Stetson,North Florida,5,2021-02-26,4.0,0.0,0.5063,North Florida,North Florida,-5
Old Dominion,Middle Tennessee,10,2021-02-26,10.0,0.0,0.5007,Middle Tennessee,Middle Tennessee,6
