home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Western Michigan,Kent St.,-9,2021-02-16,-9.5,0.0,0.7170000000000001,Kent St.,Kent St.,-7.0
Toledo,Miami OH,11,2021-02-16,11.5,0.0,0.6789,Miami OH,Miami OH,12.0
Oklahoma St.,Iowa St.,13,2021-02-16,10.5,0.0,0.6754,Iowa St.,Iowa St.,18.0
Saint Louis,La Salle,15,2021-02-16,16.0,1.0,0.6682,Saint Louis,La Salle,21.0
Akron,Northern Illinois,17,2021-02-16,16.5,1.0,0.6646,Akron,Northern Illinois,5.0
Santa Clara,Loyola Marymount,-1,2021-02-16,-3.5,0.0,0.6402,Loyola Marymount,Loyola Marymount,-3.0
Purdue,Michigan St.,7,2021-02-16,6.0,1.0,0.6376,Purdue,Michigan St.,10.0
Maryland,Nebraska,10,2021-02-16,10.0,1.0,0.6118,Maryland,Nebraska,14.0
Illinois,Northwestern,13,2021-02-16,12.5,0.0,0.6106,Northwestern,Northwestern,7.0
Mount St. Mary's,Wagner,4,2021-02-16,3.5,0.0,0.6079,Wagner,Wagner,-22.0
Arkansas,Florida,3,2021-02-16,4.5,1.0,0.5862,Arkansas,Florida,11.0
Rhode Island,Dayton,3,2021-02-16,3.0,1.0,0.5858,Rhode Island,Dayton,2.0
Connecticut,Providence,6,2021-02-16,5.5,1.0,0.5594,Connecticut,Providence,12.0
Southeast Missouri St.,Austin Peay,-4,2021-02-16,-6.5,1.0,0.5416,Southeast Missouri St.,Austin Peay,5.0
Ball St.,Bowling Green,1,2021-02-16,-2.0,1.0,0.5251,Ball St.,Bowling Green,-13.0
St. John's,Xavier,1,2021-02-16,1.0,0.0,0.5193,Xavier,Xavier,9.0
Tulsa,Temple,5,2021-02-16,4.0,0.0,0.5134,Temple,Temple,6.0
Jackson St.,Texas Southern,-1,2021-02-16,-1.0,1.0,0.5076,Jackson St.,,
Georgia,Missouri,-3,2021-02-16,-3.5,1.0,0.5048,Georgia,Missouri,10.0
