home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
New Mexico St.,Cal Baptist,11,2021-02-05,10.5,1.0,0.8059999999999999,New Mexico St.,Cal Baptist,-10
UAB,UTEP,8,2021-02-05,7.0,1.0,0.8,UAB,UTEP,12
Illinois Chicago,Wright St.,-11,2021-02-05,-10.5,0.0,0.7975,Wright St.,Wright St.,-25
Dayton,George Mason,8,2021-02-05,6.0,1.0,0.7825,Dayton,George Mason,9
South Alabama,Coastal Carolina,-2,2021-02-05,-1.0,1.0,0.7179,South Alabama,Coastal Carolina,6
Texas St.,Little Rock,3,2021-02-05,3.0,1.0,0.7132,Texas St.,Little Rock,10
Rice,Southern Miss,5,2021-02-05,4.0,0.0,0.6859,Southern Miss,Southern Miss,26
Middle Tennessee,Charlotte,-4,2021-02-05,-4.0,0.0,0.6727,Charlotte,Charlotte,1
Florida Gulf Coast,North Alabama,1,2021-02-05,2.0,0.0,0.6699,North Alabama,North Alabama,26
Detroit,Purdue Fort Wayne,7,2021-02-05,7.0,0.0,0.6578,Purdue Fort Wayne,Purdue Fort Wayne,10
Cal St. Northridge,UC Davis,-3,2021-02-05,-2.5,1.0,0.6542,Cal St. Northridge,UC Davis,3
Stetson,Lipscomb,2,2021-02-05,-1.5,0.0,0.6479,Lipscomb,Lipscomb,5
Milwaukee,Northern Kentucky,3,2021-02-05,1.5,0.0,0.6467,Northern Kentucky,Northern Kentucky,-14
UC Irvine,Cal St. Bakersfield,5,2021-02-05,6.0,1.0,0.6358,UC Irvine,Cal St. Bakersfield,17
New Hampshire,UMass Lowell,-1,2021-02-05,1.0,1.0,0.6289,New Hampshire,UMass Lowell,-5
Nevada,Boise St.,-3,2021-02-05,-4.5,1.0,0.6114,Nevada,Boise St.,2
North Texas,Louisiana Tech,5,2021-02-05,4.5,1.0,0.6064,North Texas,Louisiana Tech,-5
Dixie St.,Seattle,-2,2021-02-05,-3.0,0.0,0.5868,Seattle,Seattle,1
Troy,Georgia Southern,3,2021-02-05,1.0,1.0,0.586,Troy,Georgia Southern,12
Bellarmine,Jacksonville,7,2021-02-05,7.0,1.0,0.5691,Bellarmine,Jacksonville,15
Oakland,Cleveland St.,-1,2021-02-05,1.5,0.0,0.5636,Cleveland St.,Cleveland St.,-8
Kent St.,Akron,2,2021-02-05,2.0,1.0,0.5321,Kent St.,Akron,-11
South Dakota St.,South Dakota,7,2021-02-05,7.0,0.0,0.5294,South Dakota,South Dakota,-8
Nebraska Omaha,Western Illinois,5,2021-02-05,5.0,1.0,0.5275,Nebraska Omaha,Western Illinois,-8
FIU,UTSA,1,2021-02-05,2.5,1.0,0.5257,FIU,UTSA,-7
Arkansas St.,Louisiana,-4,2021-02-05,-3.5,1.0,0.5196,Arkansas St.,Louisiana,8
Denver,North Dakota,-1,2021-02-05,-2.5,0.0,0.5186,North Dakota,North Dakota,-3
Penn St.,Maryland,3,2021-02-05,3.5,1.0,0.516,Penn St.,Maryland,5
Robert Morris,Youngstown St.,1,2021-02-05,-1.0,0.0,0.5146,Youngstown St.,Youngstown St.,-6
North Dakota St.,Oral Roberts,4,2021-02-05,4.5,1.0,0.5104,North Dakota St.,Oral Roberts,7
Old Dominion,Marshall,-4,2021-02-05,-5.5,1.0,0.5089,Old Dominion,Marshall,1
UT Arlington,Louisiana Monroe,9,2021-02-05,9.0,0.0,0.5023,Louisiana Monroe,Louisiana Monroe,7
Green Bay,IUPUI,5,2021-02-05,6.0,0.0,0.5012,IUPUI,IUPUI,-9
