home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Florida Atlantic,Charlotte,1,2021-01-23,1.5,0.0,0.8817,Charlotte,Charlotte,-3.0
Portland St.,Idaho St.,-1,2021-01-23,2.5,0.0,0.8489,Idaho St.,Idaho St.,26.0
Wake Forest,Pittsburgh,-4,2021-01-23,-1.5,1.0,0.8431,Wake Forest,Pittsburgh,1.0
UAB,Rice,10,2021-01-23,9.5,1.0,0.8309,UAB,Rice,12.0
Oklahoma,Kansas,1,2021-01-23,-1.0,1.0,0.8264,Oklahoma,Kansas,7.0
Chattanooga,UNC Greensboro,-3,2021-01-23,-3.5,1.0,0.8178,Chattanooga,UNC Greensboro,-8.0
Appalachian St.,Georgia St.,-3,2021-01-23,-3.5,1.0,0.8139,Appalachian St.,Georgia St.,13.0
Northern Arizona,Montana St.,-5,2021-01-23,-6.0,0.0,0.8095,Montana St.,Montana St.,-5.0
Marquette,DePaul,8,2021-01-23,9.0,1.0,0.8038,Marquette,DePaul,-7.0
Georgia,Florida,-6,2021-01-23,-4.0,1.0,0.792,Georgia,Florida,-8.0
IUPUI,Wright St.,-14,2021-01-23,-14.5,0.0,0.7739,Wright St.,Wright St.,-28.0
Sacramento St.,Montana,-2,2021-01-23,-2.5,0.0,0.7704,Montana,Montana,6.0
Gonzaga,Pacific,23,2021-01-23,26.0,0.0,0.7702,Pacific,Pacific,46.0
UC Irvine,Cal Poly,18,2021-01-23,16.0,1.0,0.7699,UC Irvine,Cal Poly,23.0
Robert Morris,Northern Kentucky,1,2021-01-23,1.5,0.0,0.7642,Northern Kentucky,Northern Kentucky,-5.0
BYU,Pepperdine,11,2021-01-23,11.5,1.0,0.7479,BYU,Pepperdine,11.0
Florida St.,Clemson,6,2021-01-23,6.0,1.0,0.7376,Florida St.,Clemson,19.0
UTEP,Louisiana Tech,-2,2021-01-23,-1.0,1.0,0.7346,UTEP,Louisiana Tech,-18.0
Middle Tennessee,Western Kentucky,-9,2021-01-23,-10.5,0.0,0.73,Western Kentucky,Western Kentucky,-15.0
Northern Colorado,Eastern Washington,-3,2021-01-23,-4.0,1.0,0.728,Northern Colorado,Eastern Washington,-6.0
Syracuse,Virginia Tech,1,2021-01-23,1.0,1.0,0.7185,Syracuse,Virginia Tech,18.0
California,USC,-9,2021-01-23,-8.5,1.0,0.7182,California,USC,-8.0
Kansas St.,West Virginia,-12,2021-01-23,-11.0,1.0,0.7179,Kansas St.,West Virginia,-22.0
Louisiana Monroe,Texas St.,-7,2021-01-23,-5.5,0.0,0.7141,Texas St.,Texas St.,-6.0
FIU,Marshall,-8,2021-01-23,-9.5,0.0,0.7138,Marshall,Marshall,-17.0
Penn St.,Northwestern,6,2021-01-23,5.5,1.0,0.7103,Penn St.,Northwestern,3.0
UTSA,Southern Miss,5,2021-01-23,5.5,0.0,0.7048,Southern Miss,Southern Miss,6.0
UC Riverside,Cal St. Bakersfield,2,2021-01-23,2.5,0.0,0.6986,Cal St. Bakersfield,Cal St. Bakersfield,7.0
Illinois St.,Valparaiso,1,2021-01-23,2.0,0.0,0.6975,Valparaiso,Valparaiso,-9.0
St. John's,Utah Valley,15,2021-01-23,15.0,1.0,0.6767,St. John's,Utah Valley,18.0
Oklahoma St.,Baylor,-9,2021-01-23,-9.0,1.0,0.672,Oklahoma St.,Baylor,-15.0
Belmont,SIU Edwardsville,17,2021-01-23,16.5,1.0,0.6686,Belmont,SIU Edwardsville,52.0
Abilene Christian,Central Arkansas,12,2021-01-23,13.0,1.0,0.6679,Abilene Christian,Central Arkansas,35.0
Oakland,Detroit,1,2021-01-23,2.0,1.0,0.664,Oakland,Detroit,-10.0
Mississippi Valley St.,Prairie View A&M,-17,2021-01-23,-19.5,0.0,0.6566,Prairie View A&M,Prairie View A&M,-46.0
Richmond,La Salle,14,2021-01-23,14.5,1.0,0.6543,Richmond,La Salle,-6.0
Youngstown St.,Illinois Chicago,1,2021-01-23,1.5,0.0,0.6539,Illinois Chicago,Illinois Chicago,8.0
South Carolina,Auburn,3,2021-01-23,2.0,0.0,0.6503,Auburn,Auburn,-23.0
UNC Wilmington,Delaware,5,2021-01-23,4.0,0.0,0.6503,Delaware,Delaware,7.0
Coastal Carolina,Troy,10,2021-01-23,10.5,1.0,0.6437,Coastal Carolina,Troy,5.0
Louisiana,Arkansas St.,10,2021-01-23,10.0,1.0,0.6426,Louisiana,Arkansas St.,3.0
Vanderbilt,Arkansas,-8,2021-01-23,-8.0,1.0,0.6417,Vanderbilt,Arkansas,-21.0
Wofford,Western Carolina,8,2021-01-23,8.0,1.0,0.6406,Wofford,Western Carolina,13.0
UCF,SMU,-3,2021-01-23,-4.0,1.0,0.6398,UCF,SMU,-13.0
