home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Tulsa,UCF,5,2021-02-06,4.5,1.0,0.8845,Tulsa,UCF,-7.0
East Tennessee St.,Chattanooga,6,2021-02-06,6.0,1.0,0.8593,East Tennessee St.,Chattanooga,-2.0
South Alabama,Coastal Carolina,-1,2021-02-06,-1.0,1.0,0.8437,South Alabama,Coastal Carolina,4.0
Illinois Chicago,Wright St.,-13,2021-02-06,-11.5,0.0,0.8309,Wright St.,Wright St.,-20.0
UAB,UTEP,8,2021-02-06,8.5,1.0,0.8141,UAB,UTEP,15.0
Arkansas St.,Louisiana,-3,2021-02-06,-3.5,1.0,0.7949,Arkansas St.,Louisiana,6.0
UC Irvine,Cal St. Bakersfield,6,2021-02-06,7.0,1.0,0.7764,UC Irvine,Cal St. Bakersfield,-5.0
Alabama A&M,Mississippi Valley St.,20,2021-02-06,24.5,0.0,0.7531,Mississippi Valley St.,Mississippi Valley St.,35.0
Portland,Pepperdine,-11,2021-02-06,-13.0,0.0,0.7509999999999999,Pepperdine,Pepperdine,-21.0
Texas St.,Little Rock,3,2021-02-06,3.5,1.0,0.7485,Texas St.,Little Rock,10.0
Bradley,Southern Illinois,7,2021-02-06,8.0,1.0,0.7481,Bradley,Southern Illinois,8.0
Cal St. Northridge,UC Davis,-2,2021-02-06,-1.0,1.0,0.7338,Cal St. Northridge,UC Davis,-12.0
Fresno St.,Utah St.,-10,2021-02-06,-11.5,0.0,0.7318,Utah St.,,
Portland St.,Montana,-4,2021-02-06,-2.5,0.0,0.7301,Montana,Montana,5.0
Auburn,Mississippi,4,2021-02-06,4.0,1.0,0.7291,Auburn,Mississippi,-2.0
Saint Louis,St. Bonaventure,2,2021-02-06,3.5,1.0,0.7281,Saint Louis,St. Bonaventure,11.0
Valparaiso,Drake,-12,2021-02-06,-12.5,0.0,0.7269,Drake,Drake,-3.0
Troy,Georgia Southern,3,2021-02-06,1.0,1.0,0.7255,Troy,Georgia Southern,-15.0
Denver,North Dakota,-2,2021-02-06,-2.5,0.0,0.7187,North Dakota,North Dakota,4.0
Marquette,Creighton,-5,2021-02-06,-4.5,1.0,0.7169,Marquette,Creighton,-3.0
Wyoming,Colorado St.,-9,2021-02-06,-7.5,1.0,0.7162,Wyoming,Colorado St.,-9.0
Oklahoma St.,Texas,-2,2021-02-06,-2.5,1.0,0.7138,Oklahoma St.,Texas,8.0
Purdue,Northwestern,8,2021-02-06,8.0,1.0,0.7109,Purdue,Northwestern,5.0
Bellarmine,Jacksonville,8,2021-02-06,9.0,1.0,0.7105,Bellarmine,Jacksonville,19.0
Georgia,Vanderbilt,6,2021-02-06,5.5,0.0,0.7104,Vanderbilt,Vanderbilt,3.0
West Virginia,Kansas,2,2021-02-06,2.0,1.0,0.705,West Virginia,Kansas,12.0
Duke,North Carolina,4,2021-02-06,4.0,1.0,0.6961,Duke,North Carolina,-4.0
Hofstra,Drexel,2,2021-02-06,4.0,0.0,0.6904,Drexel,Drexel,-2.0
Morehead St.,Austin Peay,5,2021-02-06,2.0,1.0,0.6902,Morehead St.,Austin Peay,1.0
Virginia,Pittsburgh,10,2021-02-06,10.0,1.0,0.6902,Virginia,Pittsburgh,7.0
Miami FL,Virginia Tech,-6,2021-02-06,-4.5,1.0,0.6864,Miami FL,Virginia Tech,-4.0
New Mexico St.,Cal Baptist,9,2021-02-06,8.0,1.0,0.6858,New Mexico St.,Cal Baptist,27.0
