home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Boise St.,Utah St.,2,2021-02-19,1.0,1.0,0.7504,Boise St.,Utah St.,4
New Mexico St.,Utah Valley,7,2021-02-19,9.0,1.0,0.6953,New Mexico St.,Utah Valley,-3
UAB,Old Dominion,7,2021-02-19,6.5,1.0,0.682,UAB,Old Dominion,7
Nebraska Omaha,North Dakota,2,2021-02-19,2.0,0.0,0.6794,North Dakota,North Dakota,10
New Mexico,Wyoming,-5,2021-02-19,-6.5,0.0,0.6687,Wyoming,Wyoming,-12
Stetson,Jacksonville,6,2021-02-19,6.0,0.0,0.6673,Jacksonville,Jacksonville,16
Dayton,Saint Louis,-3,2021-02-19,-5.5,1.0,0.6583,Dayton,Saint Louis,23
Buffalo,Toledo,-1,2021-02-19,2.0,0.0,0.6444,Toledo,Toledo,-10
UMKC,Denver,11,2021-02-19,10.0,1.0,0.6407,UMKC,Denver,11
Georgia St.,Troy,11,2021-02-19,9.5,0.0,0.6313,Troy,Troy,14
Cal St. Fullerton,UC Irvine,-9,2021-02-19,-9.5,0.0,0.6267,UC Irvine,UC Irvine,-11
UC Santa Barbara,Cal St. Bakersfield,7,2021-02-19,7.0,0.0,0.6262,Cal St. Bakersfield,Cal St. Bakersfield,5
Cal St. Northridge,Hawaii,-4,2021-02-19,-3.5,1.0,0.6199,Cal St. Northridge,Hawaii,-1
Dixie St.,Tarleton St.,1,2021-02-19,0.0,0.0,0.6153,Tarleton St.,Tarleton St.,-18
Illinois Chicago,Green Bay,2,2021-02-19,-0.5,0.0,0.614,Green Bay,Green Bay,3
Lipscomb,Kennesaw St.,13,2021-02-19,12.5,1.0,0.5939,Lipscomb,Kennesaw St.,14
Fairfield,Canisius,-6,2021-02-19,-4.5,1.0,0.5912,Fairfield,Canisius,-11
Grand Canyon,Cal Baptist,10,2021-02-19,10.0,1.0,0.5845,Grand Canyon,Cal Baptist,10
Charleston Southern,Longwood,-5,2021-02-19,-4.0,0.0,0.5605,Longwood,Longwood,-6
UC San Diego,UC Riverside,-6,2021-02-19,-9.0,1.0,0.5601,UC San Diego,UC Riverside,-6
Hampton,Campbell,-3,2021-02-19,-3.5,0.0,0.5579,Campbell,Campbell,-5
Ball St.,Akron,-3,2021-02-19,-4.0,1.0,0.5572,Ball St.,Akron,-9
FIU,Southern Miss,1,2021-02-19,3.0,0.0,0.5513,Southern Miss,Southern Miss,-13
Detroit,Robert Morris,9,2021-02-19,9.5,1.0,0.5449,Detroit,Robert Morris,11
High Point,Winthrop,-9,2021-02-19,-9.0,0.0,0.5424,Winthrop,Winthrop,-8
North Dakota St.,South Dakota St.,-1,2021-02-19,-1.0,1.0,0.5384,North Dakota St.,South Dakota St.,-1
Long Beach St.,Cal Poly,10,2021-02-19,7.5,0.0,0.5328,Cal Poly,Cal Poly,4
Purdue Fort Wayne,Cleveland St.,-6,2021-02-19,-4.0,0.0,0.5211,Cleveland St.,Cleveland St.,7
Appalachian St.,South Alabama,3,2021-02-19,1.0,0.0,0.5191,South Alabama,South Alabama,-2
Northern Kentucky,Wright St.,-11,2021-02-19,-9.5,1.0,0.5169,Northern Kentucky,Wright St.,6
Milwaukee,Oakland,2,2021-02-19,2.0,1.0,0.5165,Milwaukee,Oakland,-4
San Jose St.,UNLV,-9,2021-02-19,-14.5,0.0,0.512,UNLV,UNLV,-16
UMBC,Vermont,-2,2021-02-19,-3.5,0.0,0.5074,Vermont,Vermont,11
