home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Hofstra,Drexel,2,2021-02-07,3.5,0.0,0.7832,Drexel,Drexel,5
Loyola MD,Lafayette,-1,2021-02-07,2.0,0.0,0.7067,Lafayette,Lafayette,13
Nevada,Boise St.,-3,2021-02-07,-5.0,1.0,0.6935,Nevada,Boise St.,11
Fairfield,Quinnipiac,-2,2021-02-07,-3.5,1.0,0.6745,Fairfield,Quinnipiac,-15
Loyola Chicago,Evansville,20,2021-02-07,18.5,0.0,0.6632,Evansville,Evansville,11
Valparaiso,Drake,-12,2021-02-07,-12.5,1.0,0.652,Valparaiso,Drake,17
Charleston,Towson,4,2021-02-07,4.0,0.0,0.6464,Towson,Towson,13
Bradley,Southern Illinois,7,2021-02-07,8.0,1.0,0.6419,Bradley,Southern Illinois,-1
Villanova,Georgetown,14,2021-02-07,13.5,0.0,0.6296,Georgetown,Georgetown,10
Illinois St.,Missouri St.,-5,2021-02-07,-6.0,1.0,0.6156,Illinois St.,Missouri St.,-10
Hampton,High Point,1,2021-02-07,1.0,0.0,0.6125,High Point,High Point,-14
Wichita St.,Temple,8,2021-02-07,8.5,1.0,0.5694,Wichita St.,Temple,3
Tulane,Cincinnati,-5,2021-02-07,-5.0,1.0,0.5637,Tulane,Cincinnati,-3
Norfolk St.,Coppin St.,8,2021-02-07,6.5,1.0,0.5506,Norfolk St.,Coppin St.,12
Northern Iowa,Indiana St.,1,2021-02-07,2.0,0.0,0.5333,Indiana St.,Indiana St.,3
Stony Brook,UMBC,-1,2021-02-07,-1.5,0.0,0.5191,UMBC,UMBC,-6
Stanford,California,12,2021-02-07,10.5,0.0,0.5116,California,California,6
Indiana,Iowa,-3,2021-02-07,-4.0,1.0,0.5115,Indiana,Iowa,2
