home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
UC Davis,UC Santa Barbara,-6,2021-01-29,-8.5,0.0,0.7145,UC Santa Barbara,UC Santa Barbara,-21.0
Grand Canyon,New Mexico St.,1,2021-01-29,4.0,1.0,0.7111,Grand Canyon,New Mexico St.,8.0
Georgia Southern,Coastal Carolina,-4,2021-01-29,-1.5,1.0,0.6942,Georgia Southern,Coastal Carolina,-17.0
Gardner Webb,High Point,9,2021-01-29,7.0,0.0,0.6808,High Point,High Point,-4.0
Arkansas St.,UT Arlington,-3,2021-01-29,-3.5,1.0,0.655,Arkansas St.,UT Arlington,8.0
Wright St.,Robert Morris,17,2021-01-29,14.0,1.0,0.6508,Wright St.,Robert Morris,9.0
Colorado St.,Boise St.,2,2021-01-29,-1.5,1.0,0.6506,Colorado St.,Boise St.,-8.0
Rice,North Texas,-5,2021-01-29,-7.5,0.0,0.6493,North Texas,North Texas,-5.0
Charlotte,FIU,5,2021-01-29,7.0,1.0,0.6381,Charlotte,FIU,8.0
North Dakota,Western Illinois,5,2021-01-29,4.0,0.0,0.6313,Western Illinois,Western Illinois,2.0
Cleveland St.,Green Bay,6,2021-01-29,3.5,1.0,0.625,Cleveland St.,Green Bay,6.0
Purdue Fort Wayne,Oakland,3,2021-01-29,1.5,1.0,0.6211,Purdue Fort Wayne,Oakland,-15.0
IUPUI,Milwaukee,-2,2021-01-29,-4.0,0.0,0.6099,Milwaukee,Milwaukee,5.0
Jacksonville,Liberty,-10,2021-01-29,-10.5,0.0,0.6057,Liberty,Liberty,-5.0
Winthrop,UNC Asheville,11,2021-01-29,12.5,0.0,0.6001,UNC Asheville,UNC Asheville,-2.0
Florida Gulf Coast,Stetson,1,2021-01-29,1.5,0.0,0.594,Stetson,Stetson,1.0
Troy,Appalachian St.,-4,2021-01-29,-4.5,1.0,0.5932,Troy,Appalachian St.,9.0
Cal St. Bakersfield,Cal St. Fullerton,12,2021-01-29,9.0,1.0,0.5911,Cal St. Bakersfield,Cal St. Fullerton,-6.0
Cal Poly,Cal St. Northridge,-2,2021-01-29,-5.5,1.0,0.5874,Cal Poly,Cal St. Northridge,6.0
Long Beach St.,UC San Diego,-2,2021-01-29,2.0,1.0,0.5871,Long Beach St.,,
Little Rock,Louisiana Monroe,10,2021-01-29,10.5,0.0,0.5768,Louisiana Monroe,Louisiana Monroe,4.0
Kennesaw St.,Bellarmine,-8,2021-01-29,-7.0,1.0,0.5757,Kennesaw St.,Bellarmine,-17.0
Buffalo,Ohio,3,2021-01-29,2.5,0.0,0.5747,Ohio,Ohio,-1.0
Richmond,Saint Louis,1,2021-01-29,1.0,1.0,0.5668,Richmond,,
Hawaii,UC Irvine,-5,2021-01-29,-2.5,1.0,0.5655,Hawaii,UC Irvine,-2.0
North Florida,North Alabama,-1,2021-01-29,2.0,1.0,0.564,North Florida,North Alabama,-4.0
UMKC,North Dakota St.,-2,2021-01-29,-3.0,0.0,0.5545,North Dakota St.,North Dakota St.,-4.0
Youngstown St.,Detroit,-1,2021-01-29,1.5,1.0,0.5465,Youngstown St.,Detroit,-3.0
Illinois,Iowa,1,2021-01-29,2.0,0.0,0.5364,Iowa,Iowa,5.0
Northern Kentucky,Illinois Chicago,2,2021-01-29,2.5,1.0,0.5361,Northern Kentucky,Illinois Chicago,4.0
Presbyterian,Longwood,-4,2021-01-29,-1.5,1.0,0.5303,Presbyterian,Longwood,-4.0
Texas St.,Louisiana,4,2021-01-29,4.0,1.0,0.5241,Texas St.,Louisiana,-2.0
South Dakota,Nebraska Omaha,8,2021-01-29,8.0,1.0,0.5201,South Dakota,Nebraska Omaha,32.0
Utah Valley,Tarleton St.,8,2021-01-29,7.0,0.0,0.5152,Tarleton St.,Tarleton St.,13.0
Cal Baptist,Dixie St.,7,2021-01-29,9.5,1.0,0.5112,Cal Baptist,Dixie St.,15.0
