home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Missouri St.,Loyola Chicago,-10,2021-02-01,-7.5,0.0,0.7441,Loyola Chicago,Loyola Chicago,-20
Texas Southern,Alabama A&M,9,2021-02-01,7.5,0.0,0.6945,Alabama A&M,Alabama A&M,17
Western Carolina,The Citadel,5,2021-02-01,6.5,1.0,0.6604,Western Carolina,The Citadel,1
Louisville,Georgia Tech,3,2021-02-01,4.0,1.0,0.6351,Louisville,Georgia Tech,16
Eastern Washington,Sacramento St.,8,2021-02-01,9.5,0.0,0.6284,Sacramento St.,Sacramento St.,15
SIU Edwardsville,Austin Peay,-2,2021-02-01,-6.0,1.0,0.6241,SIU Edwardsville,Austin Peay,-15
Prairie View A&M,Alabama St.,13,2021-02-01,16.0,1.0,0.6203,Prairie View A&M,Alabama St.,24
Grambling St.,Mississippi Valley St.,21,2021-02-01,24.5,1.0,0.6194,Grambling St.,Mississippi Valley St.,13
Wofford,East Tennessee St.,3,2021-02-01,1.5,1.0,0.6092,Wofford,East Tennessee St.,5
Evansville,Valparaiso,1,2021-02-01,2.5,1.0,0.6018,Evansville,Valparaiso,7
Southeast Missouri St.,Murray St.,-5,2021-02-01,-8.0,0.0,0.5663,Murray St.,Murray St.,-17
Memphis,UCF,7,2021-02-01,8.5,1.0,0.5557,Memphis,UCF,27
Indiana St.,Bradley,1,2021-02-01,-1.0,1.0,0.5537,Indiana St.,Bradley,12
Texas Tech,Oklahoma,3,2021-02-01,6.5,1.0,0.5461,Texas Tech,Oklahoma,5
Jackson St.,Arkansas Pine Bluff,12,2021-02-01,11.5,0.0,0.5419,Arkansas Pine Bluff,Arkansas Pine Bluff,8
Miami FL,Duke,-8,2021-02-01,-11.0,0.0,0.5368,Duke,Duke,2
Drake,Illinois St.,16,2021-02-01,17.5,0.0,0.5246,Illinois St.,Illinois St.,35
North Carolina Central,South Carolina St.,15,2021-02-01,16.5,0.0,0.5099,South Carolina St.,South Carolina St.,14
