home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
San Jose St.,UNLV,-10,2021-02-21,-13.5,0.0,0.7842,UNLV,UNLV,-3.0
American,Navy,-3,2021-02-21,-5.5,0.0,0.7586,Navy,Navy,-9.0
South Dakota,Oral Roberts,2,2021-02-21,2.0,0.0,0.7544,Oral Roberts,,
LIU,Central Connecticut,10,2021-02-21,10.5,1.0,0.7262,LIU,Central Connecticut,2.0
Holy Cross,Army,-7,2021-02-21,-6.0,0.0,0.7014,Army,Army,16.0
Albany,Stony Brook,1,2021-02-21,6.0,0.0,0.6799,Stony Brook,Stony Brook,8.0
Temple,South Florida,2,2021-02-21,-1.0,1.0,0.679,Temple,South Florida,-7.0
Texas Southern,Prairie View A&M,2,2021-02-21,-2.0,0.0,0.6726,Prairie View A&M,Prairie View A&M,-2.0
Wagner,St. Francis PA,7,2021-02-21,6.5,1.0,0.6723,Wagner,St. Francis PA,2.0
Florida A&M,North Carolina A&T,6,2021-02-21,3.0,1.0,0.6703,Florida A&M,North Carolina A&T,-7.0
St. Francis NY,Sacred Heart,3,2021-02-21,4.5,1.0,0.6666,St. Francis NY,Sacred Heart,-6.0
Louisiana Monroe,Little Rock,-3,2021-02-21,-3.5,1.0,0.65,Louisiana Monroe,Little Rock,12.0
Iowa,Penn St.,11,2021-02-21,11.5,0.0,0.6364,Penn St.,Penn St.,6.0
Niagara,Siena,-3,2021-02-21,-5.0,1.0,0.6248,Niagara,Siena,-2.0
Southern Illinois,Valparaiso,1,2021-02-21,1.5,0.0,0.6194,Valparaiso,Valparaiso,-1.0
Colgate,Boston University,14,2021-02-21,11.0,0.0,0.6152,Boston University,Boston University,15.0
Ohio St.,Michigan,1,2021-02-21,0.5,0.0,0.5943,Michigan,Michigan,-5.0
Merrimack,Bryant,-2,2021-02-21,-1.0,1.0,0.5875,Merrimack,Bryant,-16.0
Ball St.,Western Michigan,8,2021-02-21,7.5,0.0,0.5861,Western Michigan,,
Loyola MD,Lehigh,11,2021-02-21,11.0,0.0,0.5751,Lehigh,Lehigh,-4.0
Drake,Evansville,15,2021-02-21,12.5,1.0,0.5414,Drake,Evansville,14.0
Coastal Carolina,Georgia Southern,8,2021-02-21,6.5,0.0,0.5307,Georgia Southern,Georgia Southern,10.0
Northwestern,Wisconsin,-4,2021-02-21,-6.0,1.0,0.5306,Northwestern,Wisconsin,-17.0
St. Bonaventure,Davidson,4,2021-02-21,4.5,0.0,0.5173,Davidson,Davidson,11.0
Houston,Cincinnati,14,2021-02-21,13.0,0.0,0.5103,Cincinnati,Cincinnati,38.0
Xavier,Butler,8,2021-02-21,8.5,0.0,0.5097,Butler,Butler,12.0
