home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Pacific,BYU,-6,2021-02-18,-5.0,1.0,0.7249,Pacific,BYU,-28.0
Murray St.,Eastern Illinois,14,2021-02-18,15.5,1.0,0.7157,Murray St.,Eastern Illinois,-9.0
San Francisco,Loyola Marymount,4,2021-02-18,6.0,0.0,0.6321,Loyola Marymount,Loyola Marymount,-5.0
Bradley,Illinois St.,7,2021-02-18,1.5,1.0,0.6256,Bradley,Illinois St.,-17.0
Southern Utah,Sacramento St.,5,2021-02-18,6.5,0.0,0.6133,Sacramento St.,Sacramento St.,19.0
Austin Peay,SIU Edwardsville,9,2021-02-18,12.5,1.0,0.6055,Austin Peay,SIU Edwardsville,22.0
Weber St.,Northern Arizona,12,2021-02-18,13.5,0.0,0.6054,Northern Arizona,Northern Arizona,33.0
Tennessee St.,Tennessee Tech,2,2021-02-18,2.5,0.0,0.6003,Tennessee Tech,Tennessee Tech,5.0
UCLA,Arizona,2,2021-02-18,2.0,0.0,0.5983,Arizona,Arizona,14.0
Santa Clara,San Diego,6,2021-02-18,6.5,0.0,0.5927,San Diego,San Diego,-11.0
Portland St.,Idaho,13,2021-02-18,12.0,0.0,0.5919,Idaho,Idaho,20.0
Eastern Washington,Montana,7,2021-02-18,8.0,0.0,0.5839,Montana,Montana,14.0
Wichita St.,Houston,-8,2021-02-18,-7.5,0.0,0.5728,Houston,Houston,5.0
Penn St.,Ohio St.,-5,2021-02-18,-4.5,0.0,0.5683,Ohio St.,Ohio St.,-10.0
Washington,Stanford,-8,2021-02-18,-9.5,0.0,0.5472,Stanford,Stanford,-18.0
Gonzaga,Saint Mary's,20,2021-02-18,20.0,0.0,0.5463,Saint Mary's,Saint Mary's,22.0
Tennessee Martin,Eastern Kentucky,-13,2021-02-18,-11.5,0.0,0.5322,Eastern Kentucky,Eastern Kentucky,-17.0
Washington St.,California,4,2021-02-18,2.5,1.0,0.5294,Washington St.,California,31.0
Belmont,Jacksonville St.,11,2021-02-18,12.5,1.0,0.5263,Belmont,Jacksonville St.,4.0
Oregon St.,Utah,-3,2021-02-18,-2.5,0.0,0.5251,Utah,Utah,18.0
Elon,William & Mary,2,2021-02-18,2.0,1.0,0.5205,Elon,,
Oregon,Colorado,-1,2021-02-18,3.0,0.0,0.5191,Colorado,Colorado,4.0
Wisconsin,Iowa,-1,2021-02-18,1.5,1.0,0.5122,Wisconsin,Iowa,-15.0
Fresno St.,San Diego St.,-13,2021-02-18,-14.0,1.0,0.509,Fresno St.,San Diego St.,-14.0
