home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Norfolk St.,Coppin St.,8,2021-02-08,7.5,1.0,0.773,Norfolk St.,Coppin St.,-10.0
East Carolina,SMU,-5,2021-02-08,-6.0,1.0,0.708,East Carolina,SMU,-15.0
UNLV,Air Force,12,2021-02-08,14.0,0.0,0.7063,Air Force,Air Force,5.0
Hampton,High Point,-1,2021-02-08,-2.0,0.0,0.6934,High Point,High Point,5.0
Texas A&M Corpus Chris,Abilene Christian,-15,2021-02-08,-15.5,0.0,0.6920000000000001,Abilene Christian,Abilene Christian,-13.0
Minnesota,Nebraska,11,2021-02-08,11.0,0.0,0.6874,Nebraska,Nebraska,18.0
Maryland,Ohio St.,-3,2021-02-08,-3.5,1.0,0.6852,Maryland,Ohio St.,-8.0
Alabama A&M,Arkansas Pine Bluff,8,2021-02-08,10.0,0.0,0.6543,Arkansas Pine Bluff,Arkansas Pine Bluff,1.0
Kansas,Oklahoma St.,4,2021-02-08,5.0,1.0,0.6526,Kansas,Oklahoma St.,12.0
Furman,UNC Greensboro,3,2021-02-08,4.0,1.0,0.6033,Furman,UNC Greensboro,19.0
Florida A&M,North Carolina Central,1,2021-02-08,1.5,0.0,0.5946,North Carolina Central,North Carolina Central,9.0
Southern,Jackson St.,3,2021-02-08,4.0,0.0,0.5653,Jackson St.,Jackson St.,-4.0
Alcorn St.,Grambling St.,-1,2021-02-08,-1.5,0.0,0.5607,Grambling St.,,
Fairfield,Quinnipiac,-3,2021-02-08,-3.5,0.0,0.5589,Quinnipiac,Quinnipiac,7.0
Mercer,Samford,8,2021-02-08,9.5,1.0,0.5568,Mercer,Samford,7.0
Tennessee Martin,Austin Peay,-10,2021-02-08,-12.5,1.0,0.5549,Tennessee Martin,Austin Peay,1.0
Colorado,Oregon St.,13,2021-02-08,12.5,0.0,0.5541,Oregon St.,Oregon St.,29.0
North Carolina,Miami FL,11,2021-02-08,10.0,0.0,0.552,Miami FL,,
San Diego St.,San Jose St.,25,2021-02-08,26.5,1.0,0.5366,San Diego St.,San Jose St.,31.0
BYU,Gonzaga,-10,2021-02-08,-11.5,1.0,0.5336,BYU,Gonzaga,-11.0
SIU Edwardsville,Eastern Kentucky,-6,2021-02-08,-9.5,0.0,0.5316,Eastern Kentucky,Eastern Kentucky,-4.0
Stony Brook,UMBC,-2,2021-02-08,-3.0,0.0,0.5312,UMBC,UMBC,-12.0
LIU,St. Francis NY,5,2021-02-08,5.0,1.0,0.526,LIU,St. Francis NY,12.0
Alabama St.,Mississippi Valley St.,15,2021-02-08,19.0,1.0,0.5106,Alabama St.,Mississippi Valley St.,-3.0
Lafayette,Loyola MD,4,2021-02-08,2.5,1.0,0.5028,Lafayette,Loyola MD,4.0
