home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Detroit,Robert Morris,11,2021-02-25,10.5,1.0,0.7717,Detroit,Robert Morris,10.0
Michigan St.,Ohio St.,-7,2021-02-25,-4.0,0.0,0.7376,Ohio St.,Ohio St.,4.0
St. Francis PA,Mount St. Mary's,-1,2021-02-25,-0.5,0.0,0.7309,Mount St. Mary's,Mount St. Mary's,-7.0
Pepperdine,Loyola Marymount,3,2021-02-25,4.5,0.0,0.7173,Loyola Marymount,Loyola Marymount,-7.0
Stanford,Oregon,1,2021-02-25,-0.5,1.0,0.7126,Stanford,Oregon,-3.0
Arizona St.,Washington,9,2021-02-25,9.5,1.0,0.6901,Arizona St.,Washington,8.0
South Carolina St.,Florida A&M,-10,2021-02-25,-10.0,0.0,0.6829,Florida A&M,Florida A&M,-8.0
Gonzaga,Santa Clara,31,2021-02-25,30.0,1.0,0.6771,Gonzaga,Santa Clara,14.0
Prairie View A&M,Mississippi Valley St.,28,2021-02-25,31.5,1.0,0.6559,Prairie View A&M,Mississippi Valley St.,20.0
San Diego St.,Boise St.,7,2021-02-25,6.0,1.0,0.6435,San Diego St.,Boise St.,12.0
Michigan,Iowa,3,2021-02-25,5.5,0.0,0.6319,Iowa,Iowa,22.0
Saint Mary's,Pacific,6,2021-02-25,6.5,0.0,0.6305,Pacific,Pacific,12.0
Eastern Kentucky,Belmont,-7,2021-02-25,-7.5,0.0,0.6189,Belmont,Belmont,14.0
SIU Edwardsville,Tennessee Martin,7,2021-02-25,5.5,0.0,0.6168,Tennessee Martin,Tennessee Martin,13.0
Milwaukee,IUPUI,4,2021-02-25,4.5,0.0,0.6122,IUPUI,IUPUI,12.0
Northern Colorado,Portland St.,3,2021-02-25,1.5,0.0,0.6115,Portland St.,Portland St.,2.0
BYU,San Francisco,11,2021-02-25,10.0,0.0,0.6092,San Francisco,San Francisco,6.0
Youngstown St.,Illinois Chicago,4,2021-02-25,6.0,1.0,0.5788,Youngstown St.,Illinois Chicago,16.0
Sacramento St.,Weber St.,-6,2021-02-25,-6.0,0.0,0.5721,Weber St.,Weber St.,-9.0
Colorado,USC,1,2021-02-25,3.5,1.0,0.5646,Colorado,USC,18.0
Central Connecticut,Wagner,-7,2021-02-25,-8.0,0.0,0.5572,Wagner,Wagner,-20.0
California,Oregon St.,-2,2021-02-25,-1.0,0.0,0.5492,Oregon St.,Oregon St.,-2.0
Merrimack,St. Francis NY,4,2021-02-25,4.0,0.0,0.5478,St. Francis NY,St. Francis NY,-13.0
Texas Southern,Arkansas Pine Bluff,14,2021-02-25,13.5,0.0,0.5473,Arkansas Pine Bluff,Arkansas Pine Bluff,14.0
Bryant,LIU,9,2021-02-25,6.5,0.0,0.5439,LIU,LIU,7.0
Tennessee Tech,Austin Peay,-6,2021-02-25,-8.5,1.0,0.5408,Tennessee Tech,Austin Peay,5.0
Buffalo,Central Michigan,18,2021-02-25,19.5,1.0,0.5339,Buffalo,Central Michigan,12.0
Illinois,Nebraska,17,2021-02-25,15.0,0.0,0.5314,Nebraska,Nebraska,16.0
Idaho St.,Montana,-3,2021-02-25,-3.0,0.0,0.5284,Montana,Montana,-6.0
Eastern Illinois,Southeast Missouri St.,2,2021-02-25,5.5,0.0,0.5267,Southeast Missouri St.,Southeast Missouri St.,-6.0
Utah,UCLA,-1,2021-02-25,-1.5,1.0,0.5247,Utah,UCLA,-15.0
Jacksonville St.,Murray St.,1,2021-02-25,-3.5,1.0,0.5231,Jacksonville St.,Murray St.,13.0
Arizona,Washington St.,8,2021-02-25,8.5,1.0,0.5178,Arizona,Washington St.,16.0
Minnesota,Northwestern,5,2021-02-25,4.5,1.0,0.5119,Minnesota,Northwestern,-8.0
Green Bay,Purdue Fort Wayne,5,2021-02-25,5.0,1.0,0.5103,Green Bay,Purdue Fort Wayne,-5.0
Morehead St.,Tennessee St.,14,2021-02-25,11.0,1.0,0.5094,Morehead St.,Tennessee St.,14.0
Ohio,Eastern Michigan,14,2021-02-25,12.0,0.0,0.5059,Eastern Michigan,Eastern Michigan,19.0
San Diego,Portland,12,2021-02-25,12.0,1.0,0.5057,San Diego,,
Houston,Western Kentucky,14,2021-02-25,11.5,0.0,0.5029,Western Kentucky,Western Kentucky,24.0
