home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
San Diego St.,San Jose St.,26,2021-02-10,29.0,1.0,0.7978,San Diego St.,San Jose St.,22
Northwestern,Indiana,-2,2021-02-10,-4.0,1.0,0.7472,Northwestern,Indiana,-3
The Citadel,East Tennessee St.,-7,2021-02-10,-7.5,0.0,0.6984,East Tennessee St.,East Tennessee St.,8
Abilene Christian,Houston Baptist,19,2021-02-10,18.0,1.0,0.6951,Abilene Christian,Houston Baptist,29
San Francisco,Pepperdine,6,2021-02-10,4.0,0.0,0.6661,Pepperdine,Pepperdine,-8
Charlotte,Old Dominion,1,2021-02-10,1.0,1.0,0.6581,Charlotte,Old Dominion,-2
George Mason,Fordham,8,2021-02-10,9.0,0.0,0.6404,Fordham,Fordham,32
Samford,Mercer,-4,2021-02-10,-5.0,0.0,0.6303,Mercer,Mercer,-7
Tulsa,Tulane,8,2021-02-10,8.0,1.0,0.6132,Tulsa,Tulane,-10
Missouri St.,Southern Illinois,7,2021-02-10,6.5,1.0,0.6122,Missouri St.,Southern Illinois,12
Boston College,Wake Forest,3,2021-02-10,-1.0,0.0,0.6053,Wake Forest,Wake Forest,-4
Western Carolina,VMI,-2,2021-02-10,0.0,0.0,0.6017,VMI,VMI,2
Georgia Tech,Virginia,-4,2021-02-10,-4.0,1.0,0.6004,Georgia Tech,Virginia,-8
Mississippi,Missouri,-1,2021-02-10,0.0,1.0,0.5909,Mississippi,Missouri,21
Stephen F. Austin,Texas A&M Corpus Chris,15,2021-02-10,18.0,1.0,0.5869,Stephen F. Austin,Texas A&M Corpus Chris,12
Drake,Northern Iowa,11,2021-02-10,10.0,1.0,0.568,Drake,Northern Iowa,21
Mississippi St.,LSU,1,2021-02-10,1.5,1.0,0.5635,Mississippi St.,LSU,-14
Saint Louis,Rhode Island,5,2021-02-10,8.5,1.0,0.5631,Saint Louis,Rhode Island,7
UNC Greensboro,Furman,1,2021-02-10,1.5,0.0,0.5616,Furman,Furman,6
Valparaiso,Bradley,-3,2021-02-10,-3.5,1.0,0.5593,Valparaiso,Bradley,-24
Lamar,Nicholls St.,-7,2021-02-10,-6.5,1.0,0.5556,Lamar,Nicholls St.,-5
Nebraska,Wisconsin,-11,2021-02-10,-12.0,1.0,0.5534,Nebraska,Wisconsin,-13
Sam Houston St.,Southeastern Louisiana,11,2021-02-10,11.5,0.0,0.5362,Southeastern Louisiana,Southeastern Louisiana,18
Tennessee,Georgia,12,2021-02-10,12.5,0.0,0.5305,Georgia,Georgia,8
Incarnate Word,Northwestern St.,1,2021-02-10,0.0,0.0,0.5278,Northwestern St.,Northwestern St.,-1
UCF,Wichita St.,1,2021-02-10,-2.5,1.0,0.5238,UCF,Wichita St.,-1
Wofford,Chattanooga,6,2021-02-10,4.5,1.0,0.514,Wofford,Chattanooga,-12
South Florida,Houston,-10,2021-02-10,-11.5,0.0,0.5089,Houston,Houston,-17
Villanova,Marquette,11,2021-02-10,10.5,0.0,0.5087,Marquette,Marquette,32
