home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Maryland,Nebraska,10,2021-02-17,10.5,1.0,0.7963,Maryland,Nebraska,8.0
Furman,Samford,15,2021-02-17,15.5,1.0,0.7345,Furman,Samford,14.0
Boise St.,Utah St.,1,2021-02-17,1.5,1.0,0.7153,Boise St.,Utah St.,9.0
Indiana,Minnesota,3,2021-02-17,6.5,1.0,0.7003,Indiana,Minnesota,10.0
Vanderbilt,Kentucky,-3,2021-02-17,-3.5,1.0,0.6947,Vanderbilt,Kentucky,-4.0
Chattanooga,Western Carolina,8,2021-02-17,7.5,1.0,0.6654,Chattanooga,Western Carolina,8.0
Mount St. Mary's,Wagner,1,2021-02-17,3.0,0.0,0.6536,Wagner,Wagner,-2.0
Butler,Marquette,1,2021-02-17,2.0,1.0,0.6521,Butler,Marquette,-16.0
Tennessee,South Carolina,10,2021-02-17,12.0,0.0,0.6455,South Carolina,South Carolina,20.0
Louisville,Syracuse,4,2021-02-17,4.5,1.0,0.6394,Louisville,,
Wofford,The Citadel,9,2021-02-17,8.5,0.0,0.6166,The Citadel,The Citadel,14.0
North Carolina,Northeastern,13,2021-02-17,16.5,0.0,0.6118,Northeastern,Northeastern,20.0
UCF,South Florida,3,2021-02-17,3.5,1.0,0.5993,UCF,South Florida,16.0
USC,Arizona St.,12,2021-02-17,10.0,0.0,0.5915,Arizona St.,Arizona St.,18.0
Pittsburgh,N.C. State,3,2021-02-17,4.0,0.0,0.5855,N.C. State,N.C. State,-1.0
Kansas St.,Kansas,-13,2021-02-17,-13.0,1.0,0.5803,Kansas St.,Kansas,-18.0
East Tennessee St.,Mercer,5,2021-02-17,4.5,1.0,0.5765,East Tennessee St.,Mercer,-7.0
VMI,UNC Greensboro,-3,2021-02-17,-4.5,1.0,0.5611,VMI,UNC Greensboro,11.0
VCU,Richmond,3,2021-02-17,1.5,0.0,0.5589,Richmond,Richmond,12.0
Southern Illinois,Missouri St.,-7,2021-02-17,-5.5,0.0,0.5585,Missouri St.,Missouri St.,-15.0
New Mexico,Wyoming,-4,2021-02-17,-6.0,1.0,0.5452,New Mexico,Wyoming,-9.0
Northern Iowa,Drake,-8,2021-02-17,-6.0,1.0,0.5435,Northern Iowa,Drake,-8.0
Holy Cross,Boston University,-2,2021-02-17,-3.5,1.0,0.5382,Holy Cross,Boston University,-9.0
Loyola Chicago,Valparaiso,21,2021-02-17,20.0,0.0,0.5345,Valparaiso,Valparaiso,2.0
Quinnipiac,Iona,-1,2021-02-17,-6.5,1.0,0.5258,Quinnipiac,Iona,4.0
Central Connecticut,Sacred Heart,-1,2021-02-17,-1.0,0.0,0.5166,Sacred Heart,Sacred Heart,-12.0
Indiana St.,Evansville,8,2021-02-17,6.5,1.0,0.5136,Indiana St.,Evansville,14.0
Wake Forest,Duke,-5,2021-02-17,-6.5,1.0,0.5063,Wake Forest,Duke,-24.0
