home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Cleveland St.,Green Bay,7,2021-01-30,4.5,1.0,0.8491,Cleveland St.,Green Bay,8.0
Tennessee Tech,Morehead St.,-6,2021-01-30,-6.5,0.0,0.8485,Morehead St.,Morehead St.,-19.0
Duke,Clemson,4,2021-01-30,5.0,1.0,0.8433,Duke,Clemson,26.0
San Diego St.,Wyoming,18,2021-01-30,17.5,1.0,0.8252,San Diego St.,Wyoming,27.0
Stony Brook,Hartford,1,2021-01-30,2.5,0.0,0.8235,Hartford,Hartford,-2.0
Oklahoma St.,Arkansas,2,2021-01-30,2.0,1.0,0.8039,Oklahoma St.,Arkansas,4.0
Georgia,Mississippi,-3,2021-01-30,-3.5,1.0,0.797,Georgia,Mississippi,10.0
North Dakota,Western Illinois,4,2021-01-30,4.5,0.0,0.7958,Western Illinois,Western Illinois,-12.0
Duquesne,Saint Joseph's,10,2021-01-30,9.5,1.0,0.7935,Duquesne,Saint Joseph's,17.0
Troy,Appalachian St.,-3,2021-01-30,-3.5,1.0,0.7905,Troy,Appalachian St.,6.0
Grand Canyon,New Mexico St.,2,2021-01-30,3.0,1.0,0.7876,Grand Canyon,New Mexico St.,12.0
Southeast Missouri St.,Eastern Illinois,1,2021-01-30,2.5,0.0,0.784,Eastern Illinois,Eastern Illinois,31.0
Arizona St.,Stanford,-3,2021-01-30,2.0,1.0,0.7715,Arizona St.,Stanford,4.0
St. Bonaventure,George Mason,11,2021-01-30,10.5,1.0,0.7542,St. Bonaventure,George Mason,17.0
Incarnate Word,Abilene Christian,-14,2021-01-30,-15.0,0.0,0.7524,Abilene Christian,Abilene Christian,-8.0
Wagner,Merrimack,4,2021-01-30,4.0,1.0,0.7508,Wagner,,
UC Davis,UC Santa Barbara,-8,2021-01-30,-9.0,0.0,0.7467,UC Santa Barbara,UC Santa Barbara,-3.0
UNC Wilmington,Hofstra,1,2021-01-30,-1.5,1.0,0.7435,UNC Wilmington,Hofstra,-9.0
