home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Arkansas,Mississippi,3,2021-01-27,4.5,1.0,0.8156,Arkansas,Mississippi,15
Kent St.,Bowling Green,5,2021-01-27,5.0,0.0,0.797,Bowling Green,Bowling Green,5
Texas A&M Corpus Chris,Sam Houston St.,-7,2021-01-27,-9.0,0.0,0.7424,Sam Houston St.,Sam Houston St.,-5
Northwestern St.,New Orleans,1,2021-01-27,0.5,0.0,0.7377,New Orleans,New Orleans,8
UCF,East Carolina,6,2021-01-27,5.5,1.0,0.7324,UCF,East Carolina,7
South Carolina,Georgia,3,2021-01-27,4.0,0.0,0.7307,Georgia,Georgia,24
Providence,Marquette,3,2021-01-27,1.0,1.0,0.7183,Providence,Marquette,9
Nicholls St.,McNeese St.,14,2021-01-27,14.0,1.0,0.7133,Nicholls St.,McNeese St.,7
Maryland,Wisconsin,-2,2021-01-27,-3.0,1.0,0.6882,Maryland,Wisconsin,-6
LIU,Merrimack,6,2021-01-27,6.0,1.0,0.652,LIU,Merrimack,-5
UNLV,Utah St.,-5,2021-01-27,-6.5,1.0,0.6365,UNLV,Utah St.,-9
Clemson,Louisville,1,2021-01-27,1.5,1.0,0.6324,Clemson,Louisville,4
Pepperdine,BYU,-7,2021-01-27,-6.0,1.0,0.6292,Pepperdine,BYU,3
Florida St.,Miami FL,13,2021-01-27,11.0,1.0,0.6088,Florida St.,Miami FL,22
DePaul,St. John's,1,2021-01-27,-0.5,0.0,0.6067,St. John's,St. John's,-13
N.C. State,Wake Forest,7,2021-01-27,7.5,0.0,0.598,Wake Forest,Wake Forest,5
James Madison,Towson,3,2021-01-27,3.0,1.0,0.5948,James Madison,Towson,15
Fordham,Duquesne,-7,2021-01-27,-7.0,0.0,0.5870000000000001,Duquesne,Duquesne,-24
Baylor,Kansas St.,25,2021-01-27,23.5,0.0,0.5831,Kansas St.,Kansas St.,48
Notre Dame,Virginia Tech,-1,2021-01-27,-0.5,1.0,0.5818,Notre Dame,Virginia Tech,-11
Colorado St.,Boise St.,-1,2021-01-27,-2.5,1.0,0.5816,Colorado St.,Boise St.,22
The Citadel,Wofford,-10,2021-01-27,-9.0,0.0,0.5777,Wofford,Wofford,8
Colorado,Washington St.,15,2021-01-27,14.5,1.0,0.5657,Colorado,Washington St.,12
Ohio St.,Penn St.,7,2021-01-27,7.5,1.0,0.5536,Ohio St.,Penn St.,4
Missouri St.,Drake,-5,2021-01-27,-4.0,1.0,0.5524,Missouri St.,Drake,-5
UNC Greensboro,Mercer,5,2021-01-27,5.0,1.0,0.5465,UNC Greensboro,Mercer,13
La Salle,Rhode Island,-8,2021-01-27,-7.0,0.0,0.5392,Rhode Island,Rhode Island,-13
Florida,Vanderbilt,15,2021-01-27,13.0,0.0,0.5373,Vanderbilt,Vanderbilt,7
Abilene Christian,Stephen F. Austin,5,2021-01-27,2.5,0.0,0.5328,Stephen F. Austin,Stephen F. Austin,20
Southeastern Louisiana,Central Arkansas,-3,2021-01-27,-1.5,1.0,0.5242,Southeastern Louisiana,Central Arkansas,12
Incarnate Word,Houston Baptist,4,2021-01-27,2.5,0.0,0.5214,Houston Baptist,Houston Baptist,-16
VMI,Western Carolina,2,2021-01-27,2.0,0.0,0.5022,Western Carolina,Western Carolina,26
