home,away_x,predict_kp,date,draft_kings,home_cover,percent_chance,bet,away_y,score
Army,Colgate,-4,2021-02-14,-6.0,0.0,0.7749,Colgate,Colgate,-9
Arizona St.,Oregon St.,6,2021-02-14,5.0,0.0,0.7538,Oregon St.,Oregon St.,2
Morgan St.,Norfolk St.,2,2021-02-14,3.0,0.0,0.7325,Norfolk St.,Norfolk St.,-3
Cal Baptist,Sacramento St.,2,2021-02-14,3.5,1.0,0.6873,Cal Baptist,Sacramento St.,-1
Charleston,Elon,6,2021-02-14,7.5,1.0,0.6773,Charleston,Elon,-11
Drake,Loyola Chicago,-6,2021-02-14,-5.5,0.0,0.6621,Loyola Chicago,Loyola Chicago,1
Cincinnati,UCF,3,2021-02-14,5.5,1.0,0.6534,Cincinnati,UCF,1
Towson,Northeastern,-6,2021-02-14,-3.0,0.0,0.6511,Northeastern,Northeastern,11
Wisconsin,Michigan,-1,2021-02-14,1.0,0.0,0.638,Michigan,Michigan,-8
Notre Dame,Miami FL,9,2021-02-14,7.0,1.0,0.6363,Notre Dame,Miami FL,10
Northern Iowa,Valparaiso,4,2021-02-14,5.5,0.0,0.6314,Valparaiso,Valparaiso,14
James Madison,Hofstra,1,2021-02-14,2.0,1.0,0.6242,James Madison,Hofstra,4
Oral Roberts,South Dakota St.,-1,2021-02-14,-3.0,1.0,0.6226,Oral Roberts,South Dakota St.,-15
Boston University,Holy Cross,6,2021-02-14,7.5,0.0,0.6088,Holy Cross,Holy Cross,18
Loyola MD,Lafayette,2,2021-02-14,2.5,1.0,0.6041,Loyola MD,Lafayette,19
Maryland,Minnesota,1,2021-02-14,2.5,1.0,0.6026,Maryland,Minnesota,13
South Florida,Tulane,5,2021-02-14,4.5,0.0,0.5716,Tulane,Tulane,-3
Southern Illinois,Illinois St.,1,2021-02-14,4.0,1.0,0.5709,Southern Illinois,Illinois St.,10
Georgia Tech,Pittsburgh,5,2021-02-14,5.0,0.0,0.5632,Pittsburgh,Pittsburgh,6
North Dakota,South Dakota,-6,2021-02-14,-5.5,1.0,0.5631,North Dakota,South Dakota,4
Missouri St.,Bradley,4,2021-02-14,10.0,1.0,0.5529,Missouri St.,Bradley,15
Vermont,Stony Brook,12,2021-02-14,11.5,0.0,0.5409,Stony Brook,Stony Brook,4
Penn St.,Nebraska,12,2021-02-14,11.5,0.0,0.5171,Nebraska,Nebraska,-1
Evansville,Indiana St.,-4,2021-02-14,-3.5,1.0,0.5087,Evansville,Indiana St.,-6
